sid	smiles	kingdom	superclass	class	subclass	direct_parent	geometric_descriptor	alternative parents	substituents
None	O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Organic oxides	Acyclic compounds		Organic oxide;Acyclic compound
None	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside triphosphates	Aromatic heteropolycyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Purine ribonucleoside triphosphate;Organoheterocyclic compound;Azole;1,2-diol;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
None	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Pyridine nucleotides	Pyridine nucleotides	Aromatic heteropolycyclic compounds	Amino acids and derivatives;Azacyclic compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Nicotinamides;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Primary carboxylic acid amides;Purine ribonucleoside diphosphates;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyridinecarboxylic acids and derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Primary carboxylic acid amide;Pyridine carboxylic acid or derivatives;Pentose phosphate;Amino acid or derivatives;Purine ribonucleoside monophosphate;Nicotinamide;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Pyridine nucleotide;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Hydroxypyridine;Carboxamide group;Organic pyrophosphate;Oxacycle;Pyridine;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
None	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Nicotinamide nucleotides	Nicotinamide nucleotides	Aromatic heteropolycyclic compounds	Amino acids and derivatives;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Dihydropyridines;Enamines;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;N-substituted nicotinamides;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Primary carboxylic acid amides;Purine ribonucleoside diphosphates;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Primary carboxylic acid amide;Carbonyl group;Pentose phosphate;Amino acid or derivatives;Purine ribonucleoside monophosphate;Nicotinamide;Monosaccharide;Pentose-5-phosphate;Nicotinamide-nucleotide;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Dihydropyridine;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Carboxamide group;Organic pyrophosphate;N-substituted nicotinamide;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound;Enamine
None	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside diphosphates	Aromatic heteropolycyclic compounds	Amino acids and derivatives;Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Dihydropyridines;Enamines;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;N-substituted nicotinamides;Nicotinamide nucleotides;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Primary carboxylic acid amides;Purine ribonucleoside 2',5'-bisphosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Primary carboxylic acid amide;Carbonyl group;Pentose phosphate;Amino acid or derivatives;Nicotinamide;Monosaccharide;Pentose-5-phosphate;Nicotinamide-nucleotide;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Purine ribonucleoside 2',5'-bisphosphate;Organonitrogen compound;Organopnictogen compound;Dihydropyridine;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Carboxamide group;Organic pyrophosphate;N-substituted nicotinamide;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound;Enamine
None	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Pyridine nucleotides	Pyridine nucleotides	Aromatic heteropolycyclic compounds	Amino acids and derivatives;Azacyclic compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyridines;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Nicotinamides;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Primary carboxylic acid amides;Purine ribonucleoside 2',5'-bisphosphates;Purine ribonucleoside diphosphates;Purines and purine derivatives;Pyridinecarboxylic acids and derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Primary carboxylic acid amide;Pyridine carboxylic acid or derivatives;Pentose phosphate;Amino acid or derivatives;Nicotinamide;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Carboxylic acid derivative;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Purine ribonucleoside 2',5'-bisphosphate;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Pyridine nucleotide;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Hydroxypyridine;Carboxamide group;Organic pyrophosphate;Oxacycle;Pyridine;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
None	O=O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Organic oxides	Acyclic compounds		Organic oxide;Acyclic compound
None	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside diphosphates	Aromatic heteropolycyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Purine ribonucleoside diphosphate;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;1,2-diol;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Organic pyrophosphate;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
None	OP(O)(O)=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoric acids and derivatives	Acyclic compounds	Organic oxides	Organic oxide;Organic oxygen compound;Acyclic compound;Organic phosphoric acid derivative
None	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Coenzyme A and derivatives	Aromatic heteropolycyclic compounds	Alkylthiols;Azacyclic compounds;Beta amino acids and derivatives;Carbonyl compounds;Carboxylic acids and derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-acyl amines;N-substituted imidazoles;Organic oxides;Organic pyrophosphates;Organopnictogen compounds;Organosulfur compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purine ribonucleoside diphosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Ribonucleoside 3'-phosphates;Secondary alcohols;Secondary carboxylic acid amides;Tetrahydrofurans	Amino acid or derivatives;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Saccharide;Purine ribonucleoside diphosphate;Organonitrogen compound;Organoheterocyclic compound;Alcohol;Azacycle;Heteroaromatic compound;Organic pyrophosphate;Secondary carboxylic acid amide;Monoalkyl phosphate;Hydrocarbon derivative;Primary amine;Amine;Alkylthiol;Fatty acyl;Coenzyme a or derivatives;Carbonyl group;Pentose phosphate;Fatty amide;Organosulfur compound;Carboxylic acid derivative;Pyrimidine;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organopnictogen compound;Imidolactam;Azole;N-substituted imidazole;Ribonucleoside 3'-phosphate;Tetrahydrofuran;Carboxamide group;N-acyl-amine;Beta amino acid or derivatives;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Secondary alcohol;Purine;Organic nitrogen compound;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound
