KEGG	Metabolite name	PubChem	ChEBI	SMILES	kingdom	superclass	class	subclass	geometric_descriptor	Classification
C00001	Water	962.0	15377	O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Acyclic compounds	Organic oxygen compounds
C00002	Adenosine triphosphate	5957.0	15422	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00003	NAD	5892.0	44215	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Pyridine nucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00004	NADH	439153.0	16908	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Nicotinamide nucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00005	NADPH	5884.0	16474	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00006	NADP	5885.0	44409	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyridine nucleotides	Pyridine nucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00007	Oxygen	977.0	15379	O=O	Organic compounds	Organic oxygen compounds	Organic oxides	Organic oxides	Acyclic compounds	Organic oxygen compounds
C00008	ADP	6022.0	16761	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
C00009	Phosphate	1004.0	26078	OP(O)(O)=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoric acids and derivatives	Acyclic compounds	Other organic acids
C00010	Coenzyme A	87642.0	15346	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Aromatic heteropolycyclic compounds	Nucleotides/nucleosides
