Name,ionMz
Propanal,57.0346;57.0342
Acetatic acid,59.0135
Glycolaldehyde,59.0135
Pyruvaldehyde,71.0137;71.0141
Iminoacetate,72.0093
Glyoxylic acid,72.9932
(S)-Lactaldehyde,73.0293;73.0297
Lactaldehyde,73.0293;73.0297
C3:0 (Propionic acid),73.0293;73.0297
Glycine,74.025;74.0247
Glycolate,75.0087;75.0089
Diacetyl,85.0295;85.0297
Malonic semialdehyde,87.0088
Pyruvate,87.0088
Acetoin,87.0451;87.0452
C4:0 (Butyric acid),87.0451;87.0452
Alanine,88.0406;88.0403
Sarcosine,88.0406;88.0403
beta-Alanine,88.0406;88.0403
3-Hydroxypropanoate,89.0244;89.0247
Dihydroxyacetone,89.0244;89.0247
Glyceraldehyde,89.0244;89.0247
Lactate,89.0244;89.0247
Glycerol,91.0402
Phenol,93.0338;93.0347
2-Aminobut-2-enoate,100.0407
Oxobutanoic acid,101.0242;101.0245
2-Ketobutyric acid,101.0242;101.0245
2-Methyl-3-oxopropanoate,101.0242;101.0245
Acetoacetic acid,101.0242;101.0245
Succinic acid semialdehyde,101.0242;101.0245
Pentanoic acid,101.0607;101.061
2-Aminomalonate semialdehyde,102.0199
Peroxyaminoacrylate,102.0199
Aminobutanoic acid (ABA),102.056;102.0562
2-Aminoisobutyric acid,102.056;102.0562
"N,N-Dimethylglycine",102.056;102.0562
gamma-Aminobutyric acid,102.056;102.0562
Hydroxybutanoic acid,103.0402;103.04
3-Hydroxyisobutyric acid,103.0402;103.04
4-Hydroxybutanoic acid,103.0402;103.04
gamma-Hydroxybutyrate,103.0402;103.04
Serine,104.0355;104.0352
D-Glyceric acid,105.0196;105.0193
Benzyl alcohol,107.0503;107.05
p-Cresol,107.0503;107.05
Catechol,109.0295
Cytosine,110.0358
Monomethyl sulfate,110.9758;110.9762
Uracil,111.02;111.0203
"2-Hydroxy-2,4-pentadienoic acid",113.0245;113.0244
cis-Acetylacrylate,113.0245;113.0244
3-Cyano-alanine,113.0358;113.0357
Dihydrouracil,113.0358;113.0357
Proline,114.056
Fumarate,115.0037;115.0038
Ketovaline,115.0402
alpha-Ketoisovaleric acid,115.0402
Hexanoate (N-C6:0),115.0764;115.0767
(Z)-2-Methyl-peroxyaminoacrylate,116.0354;116.0356
2-Amino-3-oxobutanoic acid,116.0354;116.0356
Aspartate semialdehyde,116.0354;116.0356
Betaine,116.0717;116.0718
Valine,116.0717;116.0718
Succinate,117.0194
"L-2,4-Diaminobutanoic acid",117.0676
Allothreonine,118.0508;118.0513
Homoserine,118.0508;118.0513
Threonine,118.0508;118.0513
Mercaptopyruvic acid,118.9804;118.9807
Phenylacetaldehyde,119.0503
Cys,120.0127
Nicotinamide,121.0409
Taurine,124.0075;124.0076
Thymine,125.0354
5-Amino-4-imidazolecarboxyamide,125.0439;125.0466
"2-Hydroxy-cis-hex-2,4-dienoate",127.0401;127.0403
Dihydrothymine,127.0523
Pyrrolidonecarboxylic acid,128.0353;128.0354
Pyrroline hydroxycarboxylic acid,128.0353;128.0354
Pipecolate,128.0719;128.0711
Citraconic acid,129.0194;129.0193
Itaconate,129.0194;129.0193
2-Keto-3-methyl-valerate,129.056;129.0556
4-Methyl-2-oxopentanoate,129.056;129.0556
Ketoleucine,129.056;129.0556
N-Acetylputrescine,129.1035
(S)-4-Amino-5-oxopentanoate,130.0511;130.0509
5-Aminolevulinic acid,130.0511;130.0509
Glutamic-gamma-semialdehyde,130.0511;130.0509
Hydroxyproline,130.0511;130.0509
Isoleucine,130.0876;130.0874
(Iso)Leucine,130.0876;130.0874
"(4S)-4,5-Dihydroxypentan-2,3-dione",131.035
(S)-2-Acetolactate,131.035
2-Acetolactate,131.035
3-Hydroxy-3-methyl-2-oxobutanoic acid,131.035
4-Hydroxy-2-oxopentanoate,131.035
Glutarate,131.035
Asparagine,131.0466;131.0462
Ureidopropionic acid,131.0466;131.0462
Ornithine,131.0828
Aspartate,132.0302;132.0305
Malate,133.0144;133.0142
Malic acid,133.0144;133.0142
"(R)-2,3-Dihydroxy-isovalerate",133.0508;133.0505
1-Deoxy-xylulose,133.0508;133.0505
"2,3-Dihydroxyisovaleric acid",133.0508;133.0505
Deoxyribose,133.0508;133.0505
Hypoxanthine,135.0302;135.031
Phenyl acetate,135.0453;135.0456
Benzeneacetic acid,135.0453;135.0456
2-Aminobenzoic acid,136.0404
p-Aminobenzoic acid,136.0404
Acetyl-P,138.9798;138.9789
Phosphonoacetate,138.9798;138.9789
Carbamoyl phosphate,139.976
Crotonobetaine,142.0873
Stachydrine,142.0873
Octanoic acid,143.1077;143.108
Oxoglutarate,145.0145;145.0141
alpha-Ketoglutarate,145.0145;145.0141
(R)-3-Hydroxy-3-methyl-2-oxopentanoate,145.0508;145.0506
2-Aceto-2-hydroxybutanoate,145.0508;145.0506
2-Dehydropantoate,145.0508;145.0506
3-Hydroxy-5-oxohexanoate,145.0508;145.0506
4-Hydroxy-2-oxohexanoic acid,145.0508;145.0506
Glutamine,145.0621;145.0623
Ureidoisobutyric acid,145.0621;145.0623
Lysine,145.0986;145.0982
gamma-Butyrobetaine,145.1098;145.1106
Glutamate,146.046;146.0459
Glutamic acid,146.046;146.0459
O-Acetylserine,146.046;146.0459
Hydroxyglutarate,147.0299;147.0298
Erythro-3-Methylmalate,147.0299;147.0298
"(R) 2,3-Dihydroxy-3-methylvalerate",147.0664;147.0662
(R)-Pantoate,147.0664;147.0662
Methionine,148.044
Tartaric acid,149.0096;149.0092
Pentose,149.0455;149.0456
Lyxose,149.0455;149.0456
Ribose,149.0455;149.0456
Ribulose,149.0455;149.0456
Threo-2-pentulose,149.0455;149.0456
Xylose,149.0455;149.0456
Xylulose,149.0455;149.0456
beta-Ribopyranose,149.0455;149.0456
beta-ribofuranose,149.0455;149.0456
Guanine,150.0422;150.0425
Xanthine,151.0259;151.0264
Xylitol,151.06;151.0609
Ribitol,151.06;151.0609
3-Sulfino-L-alanine,152.0021
3-Hydroxyanthranilate,152.0356;152.0353
Dopamine,152.0716
2-Pyrocatechuic acid,153.0193;153.0192
Histidine,154.0623;154.062
2-Phosphoglycolate,154.9751
Orotate,155.0099
Dihydroorotate,157.0256;157.0255
Isopropylmaleate,157.0504
(2-Naphthyl)methanol,157.0646
1-Hydroxymethylnaphthalene,157.0646
Oxoadipate,159.0297;159.03
Alanyl-alanine,159.0775;159.0773
Aminoadipate,160.0616
2-Dehydro-3-deoxy-rhamnonate,161.0455;161.0453
2-Ethylmalate,161.0455;161.0453
3-Hydroxycinnamic acid,163.0398;163.0397;163.0351
Phenylpyruvic acid,163.0398;163.0397;163.0351
2-Deoxyglucose,163.0614;163.0611
Fucose,163.0614;163.0611
Fuculose,163.0614;163.0611
Rhamnose,163.0614;163.0611
Rhamnulose,163.0614;163.0611
alpha-Fucopyranose,163.0614;163.0611
alpha-Fucose,163.0614;163.0611
alpha-Rhamnose,163.0614;163.0611
beta-Fucopyranose,163.0614;163.0611
beta-Rhamnose,163.0614;163.0611
Methionine (R)-S-oxide,164.038
Met-oxide,164.038
methionine (S)-S-oxide,164.038
Phenylalanine,164.0716;164.0717
3-(2-Hydroxyphenyl)propanoate,165.0551;165.0556
3-(3-Hydroxyphenyl)propionate,165.0551;165.0556
Phenyllactic acid,165.0551;165.0556
Pyridoxal,166.0508;166.0507
Phosphoenolpyruvate,166.9759;166.9752
Urate,167.0207;167.021
Pyridoxamine,167.0828;167.0827
Pyridoxine,168.0667;168.0664
"3,4-Dihydroxyphenylethyleneglycol",169.0503
"2,3,4,5-Tetrahydrodipicolinate",170.0455;170.0454
Homoserine lactone,170.0825
Glycerol 2-phosphate,171.0092;171.0064;171.0065
sn-Glycerol 3-phosphate,171.0092;171.0064;171.0065
Sn-Glycerol-1-phosphate,171.0092;171.0064;171.0065
glycerol-3-phosphate,171.0092;171.0064;171.0065
Acetyl-Glu-semialdehyde,172.0616;172.0615
Aconitate,173.0092;173.0089
trans-Aconitic acid,173.0092;173.0089
2-Isopropyl-3-oxosuccinate,173.0455;173.0453
Shikimate,173.0455;173.0453
Acetylornithine,173.0932
Arginine,173.1041
Acetyl-Asp,174.0407;174.0409
Citrulline,174.088
"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate",175.022;175.0245
5-Dehydro-4-deoxy-glucuronate,175.022;175.0245
Hexuronic acid,175.022;175.0245
Ureidosuccinic acid,175.0361;175.0364
2-Isopropylmalic acid,175.0611;175.061
3-Carboxy-3-hydroxy-isocaproate,175.0611;175.061
3-Propylmalate,175.0611;175.061
2-Dehydro-3-deoxy-galactonate,177.0405;177.0402
2-Keto-3-deoxy-gluconic acid,177.0405;177.0402
3-Dehydro-2-deoxy-gluconate,177.0405;177.0402
Galactonolactone,177.0405;177.0402
Glucono-lactone,177.0405;177.0402
S-Carboxymethyl-Cys,178.0175;178.017
N-Acetylanthranilate,178.0509;178.051
