kegg_id,metabolite_ids,Metabolite value
C00234,M_10fthf_c,0.5256560900342766
C02912,M_12ppd__R_c,0.03491646199436094
C02917,M_12ppd__S_c,0.0373083816442743
C00236,M_13dpg_c,0.028554998398166997
C01672,M_15dap_c,0.08477555554136096
C03912,M_1pyr5c_c,0.05240706528714112
C04322,M_1pyr5c_c,0.05240706528714112
C03401,M_23dappa_c,
C06393,M_23dappa_c,
C04171,M_23ddhb_c,0.08741833075290861
C00196,M_23dhb_c,0.08578017157865325
C04030,M_23dhba_c,0.306403327405691
C04204,M_23dhbzs_c,0.1751242216801452
C04272,M_23dhmb_c,0.07771070888641374
C06007,M_23dhmp_c,0.09886151825480027
C04575,M_23doguln_c,
C04811,M_25aics_c,0.17948535695240242
C02780,M_25dkglcn_c,
C01304,M_25drapp_c,0.19697426528125783
C00666,M_26dap_LL_c,0.08153516494012747
C00680,M_26dap__M_c,0.08200133176048396
C06006,M_2ahbut_c,0.07482758440859882
C11822,M_2amsa_c,0.05427110511061484
C03508,M_2aobut_c,0.05324850485246557
C01302,M_2cpr5p_c,0.19063928662186314
C04691,M_2dda7p_c,0.05906370261981042
C04442,M_2ddg6p_c,0.048923275539514144
C00204,M_2ddglcn_c;M_2dh3dgal_c,
C01216,M_2ddglcn_c;M_2dh3dgal_c,
C01286,M_2dh3dgal6p_c,0.04906917593481275
C00966,M_2dhp_c,0.1274451217650685
C00672,M_2dr1p_c,0.05599460743130891
C00673,M_2dr5p_c,0.05646468464054477
C01146,M_2h3oppan_c,0.027477134497766453
C02631,M_2ippm_c,0.1393325973250037
C04752,M_2mahmp_c,0.49779099153766104
C04225,M_2mcacn_c,0.05258757707611306
C02225,M_2mcit_c,0.06157204935476335
C11434,M_2me4p_c,0.06301234580391446
C11453,M_2mecdp_c,0.08181295350330187
C00109,M_2obut_c,0.05629694840962873
C05811,M_2ohph_c,0.958559767656475
C05812,M_2omph_c,1.1625334978907054
C05810,M_2oph_c,0.958014623819814
C19975,M_2oxpaccoa_c,
C11436,M_2p4c2me_c,0.19480769614406146
C00631,M_2pg_c,0.02319791982675623
C00988,M_2pglyc_c,
C16519,M_2sephchc_c,0.45113097160993654
C19771,M_2tpr3dpcoa_c,0.6955051739292228
C01179,M_34hpp_c,0.0948293331004102
C05350,M_34hpp_c,0.0948293331004102
C00942,M_35cgmp_c,0.19874277303771892
C20253,M_3amac_c,0.059373801485118616
C04411,M_3c2hmp_c,0.1656732379386905
C02504,M_3c3hmp_c,0.11299195671147233
C04236,M_3c4mop_c,0.16429203478823817
C00618,M_3dhguln_c,
C14899,M_3dhgulnp_c,
C00944,M_3dhq_c,0.05772004128501429
C02637,M_3dhsk_c,0.0581431302506874
C01271,M_3haACP_c,
C14145,M_3hadpcoa_c,
