SangerID,CS,N0,Nmax,T0,Tmax,T16,N16,max_OD,rmax,gcr,gcauc,gcr_se,r,r16,Family
160,D-Glucose,0.04,0.24,1.018888889,10.18472222,15.79277778,0.417,0.442,0.0783076068425013,0.835218807156526,14.799584720841,0.0218786680079332,0.282021547563874,0.228915724458815,Enterobacteriaceae
160,D-Fructose,0.04,0.246,1.018888889,12.73361111,15.79277778,0.342,0.388,0.0574692619469238,0.725609465028577,11.3064141660645,0.0496951370607765,0.223700260323217,0.209553790666757,Enterobacteriaceae
160,D-Galactose,0.039,0.159,1.018611111,21.91,15.79277778,0.077,0.274,0.0194496461651484,0.336986069244611,6.1074431938895,0.0103596829640753,0.0970486331566802,0.0664256972199894,Enterobacteriaceae
160,D-Ribose,0.039,0.196,1.018888889,12.73333333,15.79277778,0.282,0.348,0.035128934400398,0.443001392707417,10.4126434716725,0.0195020328580442,0.198840639603914,0.193188750409193,Enterobacteriaceae
160,L-Arabinose,0.039,0.188,1.018611111,15.28277778,15.79277778,0.204,0.378,0.0269457165603523,0.329874217201097,9.7416226388315,0.0176524494270558,0.159083014484608,0.161567361231807,Enterobacteriaceae
160,Glycerol,0.04,0.239,1.018611111,15.2825,15.79277778,0.256,0.448,0.0326205522558932,0.358196620985112,13.273513749005,0.00440689039641575,0.180801935093746,0.181267205461539,Enterobacteriaceae
160,D-Gluconate,0.039,0.179,1.018611111,9.675,15.79277778,0.308,0.401,0.0589216409065443,0.611529860808692,11.317858055685,0.0567907076491466,0.253964278475938,0.201797122546909,Enterobacteriaceae
160,2-Ketogluconate,0.046,0.221,1.018611111,14.26277778,15.79305556,0.277,0.442,0.0404646169537719,0.360709762203494,12.108251667538,0.014456913061955,0.170968899737154,0.175314897215475,Enterobacteriaceae
160,Pyruvate,0.04,0.2,1.018888889,13.75333333,15.79305556,0.294,0.561,0.0690861859228452,0.204379893319899,14.270586528635,0.0129713712132762,0.182334463481709,0.194782170394604,Enterobacteriaceae
160,D-Lactate,0.039,0.303,1.018888889,37.21111111,15.79305556,0.053,0.459,0.0196678971869672,0.167199680818465,6.2752343075655,0.000972337497135875,0.0817239612022082,0.029952162145941,Enterobacteriaceae
160,Citrate,0.038,0.173,1.018611111,30.06916667,15.79305556,0.044,0.457,0.0266027053362137,0.241748822644111,6.324434306351,0.00324914562499015,0.0752722511537542,0.0143155369343196,Enterobacteriaceae
160,2-Oxoglutarate,0.039,0.052,1.018611111,48.44305556,15.79305556,0.043,0.057,0.00805071427704682,0.0716434973601522,0.354827777812,0.0111142303551585,0.00875155216051444,0.00953420186634384,Enterobacteriaceae
160,Succinate,0.039,0.05,1.018888889,40.27361111,15.79333333,0.044,0.052,0.000350587303331279,0.0856817545965233,0.317317916728,0.00587297355363239,0.00913148662457518,0.0117790824873324,Enterobacteriaceae
160,Fumarate,0.039,0.049,1.018611111,37.21111111,15.79305556,0.042,0.058,0.000621935300494302,0.0698247524873976,0.408930138985,0.00487673896907491,0.00909878083199719,0.00723649571295715,Enterobacteriaceae
160,L-Malate,0.039,0.179,1.018611111,16.3025,15.79305556,0.167,0.421,0.0238475334705101,0.235577993053763,10.670151529278,0.00502908759489716,0.143838624735373,0.142022400967762,Enterobacteriaceae
160,L-Glutamine,0.04,0.245,1.018611111,32.10916667,15.79277778,0.055,0.412,0.0270552405855816,0.206416840694458,6.240379861773,0.00544358462269299,0.0840998109266114,0.0310969565275924,Enterobacteriaceae
160,Acetate,0.04,0.05,1.018611111,48.44305556,15.79305556,0.041,0.05,0.000849007027474839,0.0440368535339094,0.2147870833945,0.00652774567136757,0.0067882312302796,0.00241118438352735,Enterobacteriaceae
160,L-Leucine,0.04,0.039,1.018611111,7.128333333,15.79305556,0.04,0.042,5.04031346360649e-05,0.142441038772285,0.0765044444410001,0.0389923670100961,0,0,Enterobacteriaceae
160,L-Phenylalanine,0.039,0.041,1.018611111,7.6375,15.79305556,0.041,0.043,6.95389208541422e-05,0.0974902151854488,0.1025277777865,0.0187248751348745,0.0109005887492297,0.00488341785066027,Enterobacteriaceae
162,D-Glucose,0.039,0.319,1.018888889,36.18944444,15.79277778,0.149,0.381,0.0251644717969819,0.204282766153737,8.299332915058,0.0139145227678887,0.0862087717240057,0.130890811205297,Pseudomonadaceae
162,D-Fructose,0.04,0.19,1.018888889,38.23222222,15.79277778,0.041,0.281,0.0453823066317665,0.355013711091577,3.084236249661,0.0204005235251647,0.0604065078892297,0.00241127505381624,Pseudomonadaceae
162,D-Galactose,0.039,0.07,1.018611111,33.12888889,15.79277778,0.044,0.107,0.00678621026032253,0.2121234581543,1.124554305402,0.00886665584858254,0.0262807068780518,0.0117793039481683,Pseudomonadaceae
162,D-Ribose,0.039,0.116,1.018888889,38.74222222,15.79277778,0.042,0.203,0.0109662526160158,0.188319942752926,1.7096940273255,0.00344386636353721,0.0416871638162745,0.00723676783447606,Pseudomonadaceae
162,L-Arabinose,0.039,0.119,1.018611111,38.23222222,15.79277778,0.044,0.139,0.00709422338822003,0.215641427906067,1.6527726389,0.00506664004178247,0.0432480346970806,0.0117793039481683,Pseudomonadaceae
162,Glycerol,0.039,0.39,1.018611111,48.44222222,15.79277778,0.05,0.39,0.0424798722977006,0.361218487661883,7.5022561101405,0.0177443020740421,0.0700479785744728,0.024262212478258,Pseudomonadaceae
162,D-Gluconate,0.04,0.346,1.018611111,47.42138889,15.79277778,0.153,0.377,0.0370605242339055,0.161174264633104,7.5507143057725,0.0115897036942466,0.0670800387764295,0.131002972361641,Pseudomonadaceae
162,2-Ketogluconate,0.054,0.074,1.018611111,29.04916667,15.79305556,0.064,0.091,0.00401178075527206,0.0730458391633128,1.127435000112,0.00485460601949967,0.016216798218954,0.0165903021722838,Pseudomonadaceae
162,Pyruvate,0.039,0.487,1.018888889,48.44277778,15.79305556,0.203,0.487,0.121556979199352,0.156609377943063,10.984877917353,0.006983503063171,0.0768046617094562,0.161087508440964,Pseudomonadaceae
162,D-Lactate,0.04,0.168,1.018888889,12.73361111,15.79305556,0.233,0.357,0.0254272149904129,0.309849821237082,9.3599458347505,0.0178783051134669,0.176733966784119,0.172074547849597,Pseudomonadaceae
162,Citrate,0.038,0.176,1.018611111,10.69444444,15.79305556,0.316,0.322,0.0543043782965129,1.18316072692616,8.987211667344,0.219142718637766,0.228559549342948,0.206833715154708,Pseudomonadaceae
162,2-Oxoglutarate,0.04,0.196,1.018611111,12.73361111,15.79305556,0.286,0.323,0.0388220555847851,0.823110322632684,8.157898889493,0.20448900615385,0.19571333755216,0.192084599301675,Pseudomonadaceae
162,Succinate,0.039,0.17,1.018888889,13.75361111,15.79333333,0.218,0.355,0.0241170452295748,0.339422614164797,9.5110522236375,0.0141023841817117,0.166787204339088,0.1680457167665,Pseudomonadaceae
162,Fumarate,0.038,0.274,1.018611111,48.44305556,15.79305556,0.215,0.286,0.130270735590563,0.651190671096214,7.0641645841825,0.0742551751377513,0.0600977956121748,0.169229059324468,Pseudomonadaceae
162,L-Malate,0.04,0.191,1.018611111,13.75333333,15.79305556,0.256,0.376,0.0329717668254907,0.578327821900362,8.8296202784945,0.0698895238215086,0.177114246731131,0.181263797387245,Pseudomonadaceae
162,L-Glutamine,0.04,0.17,1.018611111,12.73333333,15.79277778,0.247,0.326,0.0305474128202227,0.865272346741694,7.071416111373,0.271698441199186,0.178191407549101,0.17777240473456,Pseudomonadaceae
162,Acetate,0.039,0.186,1.018611111,27.52,15.79305556,0.044,0.475,0.0337809164167043,0.239541426058597,6.9374480574345,0.0114190092849287,0.0850429613966857,0.0117790824809543,Pseudomonadaceae
162,L-Leucine,0.04,0.17,1.018611111,28.03,15.79305556,0.048,0.373,0.0188090835007505,0.217278716048426,5.764370974043,0.0069203982511295,0.0772808406790377,0.0178033364802151,Pseudomonadaceae
162,L-Phenylalanine,0.039,0.143,1.018611111,42.31611111,15.79305556,0.041,0.194,0.0210839076786459,0.207537774169121,1.740815278482,0.00756623261486319,0.0453894089947704,0.00488341785066027,Pseudomonadaceae
360,D-Glucose,0.04,0.219,1.018888889,8.147222222,15.79277778,0.364,0.453,0.0780645763160994,0.71946406093446,15.0826761093805,0.0537266317451245,0.344099924923336,0.215641701979504,Enterobacteriaceae
360,D-Fructose,0.04,0.207,1.018888889,8.656111111,15.79277778,0.354,0.456,0.0676733428966779,0.644088519106014,14.5264394438365,0.0578621281812127,0.310526365958081,0.212921423628137,Enterobacteriaceae
360,D-Galactose,0.041,0.326,1.018611111,11.20416667,15.79277778,0.368,0.466,0.0603254907452438,0.502206932882964,15.0082823604065,0.0387449871619388,0.293668433919638,0.21429363986275,Enterobacteriaceae
360,D-Ribose,0.039,0.24,1.018888889,14.77277778,15.79277778,0.272,0.408,0.03607475051301,0.279202543660008,11.1367899992655,0.0142989688918876,0.190599793085552,0.189663036121455,Enterobacteriaceae
360,L-Arabinose,0.04,0.227,1.018611111,9.165555556,15.79277778,0.409,0.469,0.0531217379718603,0.528095815398387,15.424205416971,0.0247815110583105,0.307430645846702,0.227019838966079,Enterobacteriaceae
360,Glycerol,0.041,0.188,1.018611111,10.69444444,15.79277778,0.278,0.436,0.0296785121796473,0.242013440590504,12.8419320823995,0.00828771101701006,0.227064354289226,0.186906587015803,Enterobacteriaceae
