Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,16
0,Butyric acid,D-Glucose,Ecoli,1,16
0,Valine,D-Glucose,Ecoli,1,16
5.85,Pyruvic acid,D-Glucose,Ecoli,1,16
3.94,Propionic acid,D-Glucose,Ecoli,1,16
0,Acetyl-ornithine,D-Glucose,Ecoli,1,16
0,Alanine,D-Glucose,Ecoli,1,16
952,Acetic acid,D-Glucose,Ecoli,1,16
0,Asparagine,D-Glucose,Ecoli,1,16
0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,16
0,Serine,D-Glucose,Ecoli,1,16
3.08,Glycine,D-Glucose,Ecoli,1,16
0.633,Succinic acid,D-Glucose,Ecoli,1,16
0.0933,Methionine,D-Glucose,Ecoli,1,16
0.924,Fumaric acid,D-Glucose,Ecoli,1,16
0.23,Valeric acid,D-Glucose,Ecoli,1,16
0.796,Citric acid,D-Glucose,Ecoli,1,16
0,Lactic acid,D-Glucose,Ecoli,1,16
0.327,Putrescine,D-Glucose,Ecoli,1,16
0,Hippuric acid,D-Glucose,Ecoli,1,16
0,Lactic acid,D-Glucose,Ecoli,2,16
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,16
3.93,Pyruvic acid,D-Glucose,Ecoli,2,16
0.574,Succinic acid,D-Glucose,Ecoli,2,16
0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,16
0,Valine,D-Glucose,Ecoli,2,16
0.181,Valeric acid,D-Glucose,Ecoli,2,16
0,Serine,D-Glucose,Ecoli,2,16
4.28,Propionic acid,D-Glucose,Ecoli,2,16
0.6,Asparagine,D-Glucose,Ecoli,2,16
0.379,Acetyl-ornithine,D-Glucose,Ecoli,2,16
0.289,Putrescine,D-Glucose,Ecoli,2,16
2.97,Glycine,D-Glucose,Ecoli,2,16
0.727,Citric acid,D-Glucose,Ecoli,2,16
0,Alanine,D-Glucose,Ecoli,2,16
0.856,Fumaric acid,D-Glucose,Ecoli,2,16
0,Hippuric acid,D-Glucose,Ecoli,2,16
0,Butyric acid,D-Glucose,Ecoli,2,16
0.141,Methionine,D-Glucose,Ecoli,2,16
913,Acetic acid,D-Glucose,Ecoli,2,16
0.439,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,28
3030,Lactic acid,D-Glucose,Ecoli,1,28
0,Methionine,D-Glucose,Ecoli,1,28
348,Succinic acid,D-Glucose,Ecoli,1,28
0,Butyric acid,D-Glucose,Ecoli,1,28
386,Pyruvic acid,D-Glucose,Ecoli,1,28
13.4,Valine,D-Glucose,Ecoli,1,28
129,Alanine,D-Glucose,Ecoli,1,28
25.1,Propionic acid,D-Glucose,Ecoli,1,28
0,Asparagine,D-Glucose,Ecoli,1,28
35.8,Fumaric acid,D-Glucose,Ecoli,1,28
0.109,Serine,D-Glucose,Ecoli,1,28
5.98,Glycine,D-Glucose,Ecoli,1,28
2.86,Citric acid,D-Glucose,Ecoli,1,28
6.63,Acetyl-ornithine,D-Glucose,Ecoli,1,28
2.86,Putrescine,D-Glucose,Ecoli,1,28
3.9,Valeric acid,D-Glucose,Ecoli,1,28
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,28
0,Hippuric acid,D-Glucose,Ecoli,1,28
5100,Acetic acid,D-Glucose,Ecoli,1,28
2.97,Putrescine,D-Glucose,Ecoli,2,28
9.05,Valine,D-Glucose,Ecoli,2,28
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,28
0.129,Methionine,D-Glucose,Ecoli,2,28
4.41,Acetyl-ornithine,D-Glucose,Ecoli,2,28
0,Butyric acid,D-Glucose,Ecoli,2,28
266,Succinic acid,D-Glucose,Ecoli,2,28
0.168,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,28
57.3,Alanine,D-Glucose,Ecoli,2,28
