Well,OD,Time,Strain,Carbon_Source,Replicate
A01,0.035,0,Ecoli,Ctrl,1
A01,0.0355,0.166666667,Ecoli,Ctrl,1
A01,0.0357,0.333333333,Ecoli,Ctrl,1
A01,0.0361,0.5,Ecoli,Ctrl,1
A01,0.036,0.666666667,Ecoli,Ctrl,1
A01,0.036,0.833333333,Ecoli,Ctrl,1
A01,0.036,1,Ecoli,Ctrl,1
A01,0.0359,1.166666667,Ecoli,Ctrl,1
A01,0.0361,1.333333333,Ecoli,Ctrl,1
A01,0.036,1.5,Ecoli,Ctrl,1
A01,0.0361,1.666666667,Ecoli,Ctrl,1
A01,0.0361,1.833333333,Ecoli,Ctrl,1
A01,0.036,2,Ecoli,Ctrl,1
A01,0.036,2.166666667,Ecoli,Ctrl,1
A01,0.036,2.333333333,Ecoli,Ctrl,1
A01,0.036,2.5,Ecoli,Ctrl,1
A01,0.0361,2.666666667,Ecoli,Ctrl,1
A01,0.0361,2.833333333,Ecoli,Ctrl,1
A01,0.036,3,Ecoli,Ctrl,1
A01,0.036,3.166666667,Ecoli,Ctrl,1
A01,0.036,3.333333333,Ecoli,Ctrl,1
A01,0.036,3.5,Ecoli,Ctrl,1
A01,0.036,3.666666667,Ecoli,Ctrl,1
A01,0.036,3.833333333,Ecoli,Ctrl,1
A01,0.0361,4,Ecoli,Ctrl,1
A01,0.036,4.166666667,Ecoli,Ctrl,1
A01,0.0361,4.333333333,Ecoli,Ctrl,1
A01,0.0361,4.5,Ecoli,Ctrl,1
A01,0.0359,4.666666667,Ecoli,Ctrl,1
A01,0.0362,4.833333333,Ecoli,Ctrl,1
A01,0.0362,5,Ecoli,Ctrl,1
A01,0.0361,5.166666667,Ecoli,Ctrl,1
A01,0.0362,5.333333333,Ecoli,Ctrl,1
A01,0.0363,5.5,Ecoli,Ctrl,1
A01,0.0362,5.666666667,Ecoli,Ctrl,1
A01,0.0362,5.833333333,Ecoli,Ctrl,1
A01,0.0361,6,Ecoli,Ctrl,1
A01,0.0362,6.166666667,Ecoli,Ctrl,1
A01,0.0363,6.333333333,Ecoli,Ctrl,1
A01,0.0362,6.5,Ecoli,Ctrl,1
A01,0.0362,6.666666667,Ecoli,Ctrl,1
A01,0.0362,6.833333333,Ecoli,Ctrl,1
A01,0.0362,7,Ecoli,Ctrl,1
A01,0.0363,7.166666667,Ecoli,Ctrl,1
A01,0.0362,7.333333333,Ecoli,Ctrl,1
A01,0.0362,7.5,Ecoli,Ctrl,1
A01,0.0361,7.666666667,Ecoli,Ctrl,1
A01,0.0363,7.833333333,Ecoli,Ctrl,1
A01,0.0363,8,Ecoli,Ctrl,1
A01,0.0362,8.166666667,Ecoli,Ctrl,1
A01,0.0363,8.333333333,Ecoli,Ctrl,1
A01,0.0363,8.5,Ecoli,Ctrl,1
A01,0.0362,8.666666667,Ecoli,Ctrl,1
A01,0.0364,8.833333333,Ecoli,Ctrl,1
A01,0.0363,9,Ecoli,Ctrl,1
A01,0.0363,9.166666667,Ecoli,Ctrl,1
A01,0.0363,9.333333333,Ecoli,Ctrl,1
A01,0.0363,9.5,Ecoli,Ctrl,1
A01,0.0363,9.666666667,Ecoli,Ctrl,1
A01,0.0362,9.833333333,Ecoli,Ctrl,1
A01,0.0363,10,Ecoli,Ctrl,1
A01,0.0365,10.16666667,Ecoli,Ctrl,1
A01,0.0365,10.33333333,Ecoli,Ctrl,1
A01,0.0363,10.5,Ecoli,Ctrl,1
A01,0.0363,10.66666667,Ecoli,Ctrl,1
A01,0.0363,10.83333333,Ecoli,Ctrl,1
A01,0.0364,11,Ecoli,Ctrl,1
A01,0.0363,11.16666667,Ecoli,Ctrl,1
A01,0.0364,11.33333333,Ecoli,Ctrl,1
A01,0.0363,11.5,Ecoli,Ctrl,1
A01,0.0364,11.66666667,Ecoli,Ctrl,1
A01,0.0364,11.83333333,Ecoli,Ctrl,1
A01,0.0365,12,Ecoli,Ctrl,1
A01,0.0364,12.16666667,Ecoli,Ctrl,1
A01,0.0364,12.33333333,Ecoli,Ctrl,1
A01,0.0365,12.5,Ecoli,Ctrl,1
A01,0.0364,12.66666667,Ecoli,Ctrl,1
A01,0.0364,12.83333333,Ecoli,Ctrl,1
A01,0.0364,13,Ecoli,Ctrl,1
A01,0.0365,13.16666667,Ecoli,Ctrl,1
A01,0.0363,13.33333333,Ecoli,Ctrl,1
A01,0.0363,13.5,Ecoli,Ctrl,1
A01,0.0364,13.66666667,Ecoli,Ctrl,1
A01,0.0364,13.83333333,Ecoli,Ctrl,1
A01,0.0364,14,Ecoli,Ctrl,1
A01,0.0365,14.16666667,Ecoli,Ctrl,1
A01,0.0365,14.33333333,Ecoli,Ctrl,1
A01,0.0367,14.5,Ecoli,Ctrl,1
A01,0.0365,14.66666667,Ecoli,Ctrl,1
A01,0.0365,14.83333333,Ecoli,Ctrl,1
A01,0.0364,15,Ecoli,Ctrl,1
A01,0.0364,15.16666667,Ecoli,Ctrl,1
A01,0.0365,15.33333333,Ecoli,Ctrl,1
A01,0.0365,15.5,Ecoli,Ctrl,1
A01,0.0364,15.66666667,Ecoli,Ctrl,1
A01,0.0364,15.83333333,Ecoli,Ctrl,1
A01,0.0364,16,Ecoli,Ctrl,1
A01,0.0364,16.16666667,Ecoli,Ctrl,1
A01,0.0364,16.33333333,Ecoli,Ctrl,1
A01,0.0365,16.5,Ecoli,Ctrl,1
A01,0.0365,16.66666667,Ecoli,Ctrl,1
A01,0.0364,16.83333333,Ecoli,Ctrl,1
A01,0.0364,17,Ecoli,Ctrl,1
A01,0.0365,17.16666667,Ecoli,Ctrl,1
A01,0.0365,17.33333333,Ecoli,Ctrl,1
A01,0.0364,17.5,Ecoli,Ctrl,1
A01,0.0366,17.66666667,Ecoli,Ctrl,1
A01,0.0364,17.83333333,Ecoli,Ctrl,1
A01,0.0365,18,Ecoli,Ctrl,1
A01,0.0365,18.16666667,Ecoli,Ctrl,1
A01,0.0365,18.33333333,Ecoli,Ctrl,1
A01,0.0365,18.5,Ecoli,Ctrl,1
A01,0.0366,18.66666667,Ecoli,Ctrl,1
A01,0.0365,18.83333333,Ecoli,Ctrl,1
A01,0.0365,19,Ecoli,Ctrl,1
A01,0.0365,19.16666667,Ecoli,Ctrl,1
A01,0.0364,19.33333333,Ecoli,Ctrl,1
A01,0.0363,19.5,Ecoli,Ctrl,1
A01,0.0365,19.66666667,Ecoli,Ctrl,1
A01,0.0366,19.83333333,Ecoli,Ctrl,1
A01,0.0365,20,Ecoli,Ctrl,1
A01,0.0365,20.16666667,Ecoli,Ctrl,1
A01,0.0364,20.33333333,Ecoli,Ctrl,1
A01,0.0365,20.5,Ecoli,Ctrl,1
A01,0.0365,20.66666667,Ecoli,Ctrl,1
A01,0.0365,20.83333333,Ecoli,Ctrl,1
A01,0.0366,21,Ecoli,Ctrl,1
A01,0.0364,21.16666667,Ecoli,Ctrl,1
A01,0.0366,21.33333333,Ecoli,Ctrl,1
A01,0.0366,21.5,Ecoli,Ctrl,1
A01,0.0365,21.66666667,Ecoli,Ctrl,1
A01,0.0365,21.83333333,Ecoli,Ctrl,1
A01,0.0365,22,Ecoli,Ctrl,1
A01,0.0366,22.16666667,Ecoli,Ctrl,1
A01,0.0365,22.33333333,Ecoli,Ctrl,1
A01,0.0365,22.5,Ecoli,Ctrl,1
A01,0.0364,22.66666667,Ecoli,Ctrl,1
A01,0.0365,22.83333333,Ecoli,Ctrl,1
A01,0.0364,23,Ecoli,Ctrl,1
A01,0.0364,23.16666667,Ecoli,Ctrl,1
A01,0.0366,23.33333333,Ecoli,Ctrl,1
A01,0.0366,23.5,Ecoli,Ctrl,1
A01,0.0365,23.66666667,Ecoli,Ctrl,1
A01,0.0365,23.83333333,Ecoli,Ctrl,1
A01,0.0365,24,Ecoli,Ctrl,1
A01,0.0364,24.16666667,Ecoli,Ctrl,1
A01,0.0366,24.33333333,Ecoli,Ctrl,1
A01,0.0365,24.5,Ecoli,Ctrl,1
