Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,OD
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,16,0.0342
0,Butyric acid,D-Glucose,Ecoli,1,16,0.0342
0,Valine,D-Glucose,Ecoli,1,16,0.0342
5.85,Pyruvic acid,D-Glucose,Ecoli,1,16,0.0342
3.94,Propionic acid,D-Glucose,Ecoli,1,16,0.0342
0,Acetyl-ornithine,D-Glucose,Ecoli,1,16,0.0342
0,Alanine,D-Glucose,Ecoli,1,16,0.0342
952,Acetic acid,D-Glucose,Ecoli,1,16,0.0342
0,Asparagine,D-Glucose,Ecoli,1,16,0.0342
0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,16,0.0342
0,Serine,D-Glucose,Ecoli,1,16,0.0342
3.08,Glycine,D-Glucose,Ecoli,1,16,0.0342
0.633,Succinic acid,D-Glucose,Ecoli,1,16,0.0342
0.0933,Methionine,D-Glucose,Ecoli,1,16,0.0342
0.924,Fumaric acid,D-Glucose,Ecoli,1,16,0.0342
0.23,Valeric acid,D-Glucose,Ecoli,1,16,0.0342
0.796,Citric acid,D-Glucose,Ecoli,1,16,0.0342
0,Lactic acid,D-Glucose,Ecoli,1,16,0.0342
0.327,Putrescine,D-Glucose,Ecoli,1,16,0.0342
0,Hippuric acid,D-Glucose,Ecoli,1,16,0.0342
0,Lactic acid,D-Glucose,Ecoli,2,16,0.0423
0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,16,0.0423
3.93,Pyruvic acid,D-Glucose,Ecoli,2,16,0.0423
0.574,Succinic acid,D-Glucose,Ecoli,2,16,0.0423
0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,16,0.0423
0,Valine,D-Glucose,Ecoli,2,16,0.0423
0.181,Valeric acid,D-Glucose,Ecoli,2,16,0.0423
0,Serine,D-Glucose,Ecoli,2,16,0.0423
4.28,Propionic acid,D-Glucose,Ecoli,2,16,0.0423
0.6,Asparagine,D-Glucose,Ecoli,2,16,0.0423
0.379,Acetyl-ornithine,D-Glucose,Ecoli,2,16,0.0423
0.289,Putrescine,D-Glucose,Ecoli,2,16,0.0423
