SID,Metabolite,Peak_Intensity,Strain,SangerID,Carbon_Source,Well,Plate,OD,Replicate,Type
C1_E1,"2',4'-Dihydroxyacetophenone",21466.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,"2,3-Diaminopropionic acid",6622.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,2-Hydroxybutyric acid,31576,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,2-Hydroxyglutaric acid,880990.69,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,2-Ketobutyric acid/Succinic acid semialdehyde,16728.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,2/3-Phosphoglyceric acid,1247.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,3-(2-Hydroxyphenyl)propanoic acid,58645,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,3-Amino-4-hydroxybenzoic acid,36209.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,3-Hydroxybenzoic acid,24048.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,3-Hydroxyphenylacetic acid,21466.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,4-Guanidinobutanoic acid,0,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,4-Hydroxyphenylpyruvic acid,6600.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,4-Hydroxyproline,1339.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,4-hydroxy-L-phenylglycine,23873.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Acetylglycine,0,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,"Adenosine 2',3'-cyclic phosphate",75155.66,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Adenosine monophosphate,2313.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Alanine/Sarcosine,182.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Aminoadipic acid,1929.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Citric/Isocitric acid,158862,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Cyclic AMP,75155.66,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Deoxyguanosine,92,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Dethiobiotin,7225,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,FAD,217.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Fructose 6-phosphate,499,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Fumaric acid,1081.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Gluconic acid,3449.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Glucosamine 6-phosphate,3278.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Glucosamine 6-sulfate,4981,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,"Glucurono-6,3-lactone",1720.6,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Glycocholic acid,1413.33,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Guanine,10898.67,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Guanosine monophosphate,174,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Homocystine,3766,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
C1_E1,Hydroxyphenyllactic acid,4743,Enterobacteriaceae,360,D-Glucose,B1,1,0.151,1,S
