,Strain,Carbon source,Well,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag
0,Ecoli,D-Glucose,A02,Model(Richards),0.00048435347429149494,0.0017133229706528294,-2081.451995135725,-2093.8757770313273,0.9225664551239203,0.665020024878853,0.0005043610501802576,0.2564462241067269,0.25986620840014363,1.8657860673477458,0.0,0.0,False,True,0.2543349837044832,2.6720053383683666,16.723048993235228
1,Ecoli,D-Fructose,A03,Model(Richards),0.0018514094155745937,0.0029763095027798723,-2410.1664111446057,-2423.5357481524647,0.9310462057296239,0.6639336484250936,0.0005329390413641999,0.18200743644808282,0.20026906325879046,3.2912382346241675,0.0,0.0,False,True,0.20070435971801504,3.450116783763761,20.71492147208184
2,Ecoli,D-Galactose,A04,Model(Richards),0.00022695710060575237,0.0009869472171634857,-3203.332449259317,-3217.13660307358,0.9359536186990222,0.6849957446299051,0.0005955555527044076,0.2137304731283436,0.177711709506591,4.105025682401443,0.0,0.0,False,True,0.17836082028720354,3.907907908228225,24.075625561772497
3,Ecoli,D-Ribose,A05,Model(LogisticLag2),0.0011343635879256862,0.00202365397429352,-3408.259091402468,-3426.379178933405,0.6646231210740566,0.2445223431510665,0.0014126412700659063,0.34035811812159866,7.999987506992801,1.0,0.003622550991842388,0.06255238085650139,True,False,0.22538502858657758,3.123123123123122,35.73411824188146
4,Ecoli,L-Arabinose,A06,Model(Richards),0.0005317864491098974,0.001595127822734201,-2670.8856508301687,-2684.254987838028,0.925245196264396,0.5904931794772644,0.0001541198605812255,0.17151970287103735,0.25037902087871444,1.7722709108604866,0.0,0.0,False,True,0.24375747262719244,2.7527527530030014,20.41459003932965
5,Ecoli,Glycerol,A07,Model(RichardsLag1),6.596036355582965e-05,0.00048797956530804624,-4196.261225624642,-4214.381313155579,0.9000597063669242,0.5952903575031283,0.0004266255283575937,0.21454671412575133,0.24590141459423795,0.48974160373109976,0.10960096988373969,0.0,True,True,0.166598778860587,3.5555555555555536,27.8873368782465
6,Ecoli,Pyruvate,A08,Model(BaranyiRoberts),8.38151939360856e-06,0.0001739488222343273,-4762.095077577985,-4783.839182615109,0.9999999999907478,0.999999999998489,0.0007209454779384394,0.1447568011815994,1.292217824232765,0.2336877433458598,0.007348668776774314,0.11282437240030085,True,True,0.2018904503366141,3.4594594594594597,40.04069605358323
7,Ecoli,Succinate,A09,Model(RichardsLag1),0.001956054368231047,0.0026573611189218468,-3257.33353934481,-3275.453626875747,5.330043132246521e-293,4.1140596303744463e-293,0.015219141279967152,0.0033450661853295927,7.908949585477689,9.004362223912805,3.8894670843919794,0.0,True,False,,0.0,inf
8,Ecoli,Fumarate,A10,Model(Richards),0.0010579468592057761,0.0019543036460118158,-3433.201552498293,-3447.6976225230424,2.87e-322,3.5e-323,0.0006330627068837913,0.0022454873646273743,4.523884263375455,6.035917913359758,0.0,0.0,True,False,1.7680871755619876,0.14414414414414414,-3005889397.660058
9,Ecoli,L-Malate,A11,Model(BaranyiRoberts),3.718730812248329e-05,0.0003664017055479676,-4349.382164706476,-4371.1262697436005,0.999982456789503,0.9999971347003523,0.0007999414687513973,0.06130314939047188,7.999977124746509,9.999999999863254,0.0039403931253589874,0.03814606583340718,True,True,0.1757178317772177,4.084084084084083,41.01836977287662
10,Ecoli,Acetate,A12,Model(Richards),4.800101083032492e-05,0.0004162797710229334,-4289.9246904518495,-4304.420760476599,8.170901683600258e-156,3.0876741931461065e-156,0.00026009815748717635,0.0010006016847192711,3.793720209762762,8.763109966900151,0.0,0.0,True,False,1.9122519709749155,0.19219219219219216,-26514255035.03423
11,Enterobacter,D-Glucose,B02,Model(Richards),0.002244196876212413,0.00543405063152275,-775.3677751117351,-784.6907084728805,0.8852419068335092,0.6628881330213625,0.0004676371582976735,0.331064672361449,0.5563165034853071,2.160099922573794,0.0,0.0,False,True,0.5700287894930113,1.248248248248247,8.330404891409737
12,Enterobacter,D-Fructose,B03,Model(Richards),0.005679676177772872,0.007944023734000626,-852.3611269430796,-862.3603656244007,0.5588651734699823,0.2859408400385498,0.00010000000187271318,0.27692377326013906,0.5996336679898718,1.4792896442995243,0.0,0.0,False,True,0.5919488911427354,1.1626626624324317,9.822921865680863
13,Enterobacter,D-Galactose,B04,Model(Richards),0.035765068922617715,0.012579845680957916,-1956.1158612523107,-1969.7980012493997,0.90582841351425,0.6615528907150798,0.0001000000035453752,0.2710387403978469,0.3717562648961265,0.6928641426281698,0.0,0.0,False,True,0.2958588456813241,1.858358358358358,16.061843020035017
