,Well,Strain,Carbon source,Peak time
0,A02,Ecoli,D-Glucose,27.33333333
1,B02,Enterobacter,D-Glucose,12.5
2,C02,Pputida,D-Glucose,23.66666667
3,D02,Pseudomonas,D-Glucose,42.5
4,A03,Ecoli,D-Fructose,34.66666667
5,B03,Enterobacter,D-Fructose,14.83333333
6,C03,Pputida,D-Fructose,37.5
7,D03,Pseudomonas,D-Fructose,48.0
8,A04,Ecoli,D-Galactose,38.66666667
9,B04,Enterobacter,D-Galactose,37.5
10,C04,Pputida,D-Galactose,48.0
11,D04,Pseudomonas,D-Galactose,48.0
12,A05,Ecoli,D-Ribose,48.0
13,B05,Enterobacter,D-Ribose,15.5
14,C05,Pputida,D-Ribose,48.0
15,D05,Pseudomonas,D-Ribose,48.0
16,A06,Ecoli,L-Arabinose,34.66666667
17,B06,Enterobacter,L-Arabinose,20.5
18,C06,Pputida,L-Arabinose,48.0
19,D06,Pseudomonas,L-Arabinose,48.0
20,A07,Ecoli,Glycerol,48.0
21,B07,Enterobacter,Glycerol,21.33333333
22,C07,Pputida,Glycerol,34.33333333
23,D07,Pseudomonas,Glycerol,48.0
24,A08,Ecoli,Pyruvate,48.0
25,B08,Enterobacter,Pyruvate,48.0
26,C08,Pputida,Pyruvate,31.0
27,D08,Pseudomonas,Pyruvate,21.5
28,A09,Ecoli,Succinate,48.0
29,B09,Enterobacter,Succinate,48.0
30,C09,Pputida,Succinate,21.83333333
31,D09,Pseudomonas,Succinate,18.83333333
32,A10,Ecoli,Fumarate,48.0
33,B10,Enterobacter,Fumarate,48.0
34,C10,Pputida,Fumarate,18.33333333
35,D10,Pseudomonas,Fumarate,15.5
36,A11,Ecoli,L-Malate,48.0
37,B11,Enterobacter,L-Malate,35.33333333
38,C11,Pputida,L-Malate,19.66666667
39,D11,Pseudomonas,L-Malate,15.16666667
40,A12,Ecoli,Acetate,48.0
41,B12,Enterobacter,Acetate,48.0
42,C12,Pputida,Acetate,46.0
43,D12,Pseudomonas,Acetate,42.5
44,E02,Ecoli,D-Glucose,28.66666667
45,F02,Enterobacter,D-Glucose,13.16666667
46,G02,Pputida,D-Glucose,23.5
47,H02,Pseudomonas,D-Glucose,35.83333333
48,E03,Ecoli,D-Fructose,34.16666667
49,F03,Enterobacter,D-Fructose,15.33333333
50,G03,Pputida,D-Fructose,35.5
51,H03,Pseudomonas,D-Fructose,48.0
52,E04,Ecoli,D-Galactose,48.0
53,F04,Enterobacter,D-Galactose,27.16666667
54,G04,Pputida,D-Galactose,48.0
55,H04,Pseudomonas,D-Galactose,48.0
56,E05,Ecoli,D-Ribose,48.0
57,F05,Enterobacter,D-Ribose,14.33333333
58,G05,Pputida,D-Ribose,48.0
59,H05,Pseudomonas,D-Ribose,48.0
60,E06,Ecoli,L-Arabinose,37.16666667
61,F06,Enterobacter,L-Arabinose,20.0
62,G06,Pputida,L-Arabinose,48.0
63,H06,Pseudomonas,L-Arabinose,48.0
64,E07,Ecoli,Glycerol,48.0
65,F07,Enterobacter,Glycerol,20.66666667
66,G07,Pputida,Glycerol,33.16666667
67,H07,Pseudomonas,Glycerol,48.0
68,E08,Ecoli,Pyruvate,48.0
69,F08,Enterobacter,Pyruvate,37.5
70,G08,Pputida,Pyruvate,29.66666667
71,H08,Pseudomonas,Pyruvate,32.5
72,E09,Ecoli,Succinate,48.0
73,F09,Enterobacter,Succinate,48.0
74,G09,Pputida,Succinate,21.83333333
75,H09,Pseudomonas,Succinate,38.66666667
76,E10,Ecoli,Fumarate,48.0
77,F10,Enterobacter,Fumarate,48.0
78,G10,Pputida,Fumarate,18.16666667
79,H10,Pseudomonas,Fumarate,34.0
80,E11,Ecoli,L-Malate,48.0
81,F11,Enterobacter,L-Malate,29.33333333
82,G11,Pputida,L-Malate,20.16666667
83,H11,Pseudomonas,L-Malate,30.0
84,E12,Ecoli,Acetate,48.0
85,F12,Enterobacter,Acetate,48.0
86,G12,Pputida,Acetate,42.83333333
87,H12,Pseudomonas,Acetate,48.0
