,Species,Carbon source,Metabolite,Slope,Intercept,R2,Std. Err [mmol/gDW/h],Peak time,Rate [mmol/gDW/h],Metabolite ID,Turnover [mmol/gDW/h],Metabolite value [gDW/mmol],log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Mol weight [g/mol],N carbons,Dataset
0,Ecoli,L-Malate,Butyrate,2.182416269705797,-0.0031237746783984166,0.7639534736803912,0.7003938357020998,48.0,0.002182416269705797,but,0.0,,-2.661062409387475,,87.09718,4.0,Vila-23
1,Ecoli,D-Fructose,Butyrate,1.0504361400588738,0.019041588165294,0.6194459183203604,0.41166709416879893,34.66666667,0.0010504361400588739,but,0.0,,-2.9786303448411378,,87.09718,4.0,Vila-23
2,Ecoli,D-Galactose,Butyrate,1.411774838283339,0.049133925584129434,0.8994923766199913,0.33369615139036457,48.0,0.001411774838283339,but,0.0,,-2.8502345626953858,,87.09718,4.0,Vila-23
3,Ecoli,D-Ribose,Butyrate,3.110499139268554,1.3982233231930765,0.5799890538680346,1.3234894864591935,48.0,0.003110499139268554,but,0.0,,-2.507169914498444,,87.09718,4.0,Vila-23
4,Ecoli,L-Arabinose,Butyrate,10.28449375384187,0.09085890979081457,0.9055215921276266,2.3490096379480083,37.16666667,0.01028449375384187,but,0.0,,-1.987817081249188,,87.09718,4.0,Vila-23
5,Ecoli,Glycerol,Butyrate,1.573284835994054,0.35721122410836126,0.7492013325340451,0.3716165724360296,48.0,0.0015732848359940542,but,0.0,,-2.803192643236925,,87.09718,4.0,Vila-23
6,Ecoli,Pyruvate,Butyrate,0.6603423854158141,-0.036817026915988676,0.829063560603154,0.17311390775083102,48.0,0.0006603423854158141,but,0.0,,-3.1802308257598244,,87.09718,4.0,Vila-23
7,Ecoli,D-Glucose,Valine,10.879603579261627,0.06439894937246482,0.9101733530890099,2.4167882973424506,28.66666667,0.010879603579261626,val__L,0.06401677913050513,0.09433535198957455,-1.9633869287624448,-1.0253255257478142,117.14634,5.0,Vila-23
8,Ecoli,D-Fructose,Valine,6.058310660859437,0.03013635323354813,0.9144773300992122,1.3100585173605752,34.66666667,0.006058310660859437,val__L,0.051291571735412836,0.09435927413916217,-2.217648460478611,-1.025215408593659,117.14634,5.0,Vila-23
9,Ecoli,D-Galactose,Valine,9.57627278032639,0.0701021896360512,0.9950807607736414,0.4761034378483231,48.0,0.00957627278032639,val__L,0.03335249060436965,0.09437158825573444,-2.018803491538233,-1.0251587357971002,117.14634,5.0,Vila-23
