Time,G6P,F6P,FBP,DHAP,23PG,PEP,PYR MS,RU5P+X5P,CIT,ACN,ICIT,AKG MS,SUC,FUM MS,ASN,GLU,SER,ASP,GLN,TYR,PRO,ALA,MET,VAL,PHE,LEU+ILEU,HIS,LYS,ARG,PYR,ORO,FUM,URA,AKG,SHI,ACT,ETH
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0.109,4,0.006,0,0,66.4,0,0,0,0,1.824,4.32,0,0.627,4.333,1.012,0.201,0.129,0.176,1.316,2.585,0.109,0.772,0.436,0.937,0.447,0.943,0,13.75,2,0,20,4.75,0,0,9333.623
2,0,0.127,6.973,0.036,0,0,152,0,0,0,0,8.08,9.347,0,0.389,4.427,0.744,0.185,0.643,0.132,2.172,0.564,0.082,0.748,0.39,0.745,0.488,1.404,4.04,103.25,6.25,0,5.5,17.25,0,546.25,16171.044
3,0,0.141,8.373,0.052,0,0,230.8,0,0,0,0,13.6,13.147,0,0.608,6.027,1.171,0.259,0.831,0.169,3.657,4.129,0.102,0.948,0.524,0.793,0,1.577,24.46,189.5,7.25,0,6,17.75,0,977.25,25396.136
4,0.014,0.181,8.213,0.108,0,0,373.467,0,0.656,0,0,21.267,17.107,0,0.561,4.683,0.832,0.202,0.964,0.139,5.307,3.829,0.084,0.847,0.495,0.799,0,1.572,0.198,317.5,9.5,0.5,7.5,22.75,0,1696.25,32776.21
5,0.078,0.189,10.027,0.256,0,0,652,0,3.357,0,0,34.267,22.16,0,0.936,3.767,1.208,0.3,0.76,0.2,7.4,4.029,0.099,1.093,0.551,0.817,0,1.469,7.76,303.75,7.5,0.75,29.5,14.5,0,1823.225,61862.383
6,0.099,0.245,10.293,0.321,0.431,0,861.333,0,5.107,0.021,0,38.133,23.84,0,1.172,7.813,1.601,0.313,0.381,0.214,5.773,3.503,0.121,0.94,0.451,0.801,0,1.051,0,734.5,16.5,2,10.5,35.5,0,3628,96049.49
7,0.181,0.294,11.427,0.379,0.513,0,462.667,0.005,6.88,0.095,0,41.2,24.133,0,1.179,13.587,0.68,0.629,1.095,0.115,0.204,3.784,0.097,1.244,0.295,0.709,0,1.711,3.88,379,11.5,2,13,40.5,0,5530,99305.405
8,0.245,0.304,9.76,0.312,0.341,0,5.107,0.002,5.667,0.079,0.068,38.587,23.453,0,0.989,14.52,0.357,0.632,2.004,0.083,0.096,2.331,0.09,2.001,0.299,0.813,0,2.511,0,0,11.5,2.5,19.5,46.5,0,7034,87367.05
9,0.276,0.257,10.307,0.314,0.428,0.017,3.169,0.003,6.8,0.138,0.242,38.933,24.187,0,1.141,9.4,1.101,0.854,2.712,0.33,0.451,1.954,0.148,2.826,0.432,0.944,0,3.987,4.68,0,12.5,3,27,59.5,2.5,7518,85739.093
10,0.413,0.384,9.84,0.34,0.453,0.058,6.427,0.005,7.267,0.322,0.872,41.333,24.573,0,0.617,6.68,0.873,0.489,0.25,0.375,0.463,0.721,0,1.151,0.739,1.961,10.827,0.98,76.8,0,14,3.5,28,57.5,3,4796,71087.476
11,0.592,0.418,11.32,0.321,0.569,0.112,5.987,0.007,8.12,0.411,1.669,42.4,24.64,0,0.447,5.96,0.764,0.344,0,0.261,0.219,0.343,0,0.549,0.506,1.153,4.729,0.705,56.933,0,13,7.5,14.5,66.5,4,1081,62513.566
12,0.637,0.42,9.693,0.34,0.505,0.179,4.117,0.007,12.693,0.527,1.968,42.4,24.6,2.256,0.334,5.467,0.488,0.245,0,0.153,0.202,0.827,0,0.528,0.403,0.879,2.473,0.266,34.24,0,12.5,9,11,67.5,3,416.5,48404.602
13,0.807,0.497,10.44,0.345,0.617,0.302,3.551,0.01,14.067,0.683,2.672,44.933,25.2,4.4,0.323,3.864,0.568,0.266,0,0.166,0.16,0.803,0,0.516,0.314,0.793,1.719,0,26.24,0,14.5,12,11,90.5,3,1055.5,45148.687
14,0.995,0.559,10.893,0.402,0.693,0.479,4.267,0.015,19.093,0.765,3.956,47.733,26.147,6.48,0.373,5.133,0.405,0.246,0.087,0.132,0.166,1.423,0,0.503,0.367,0.835,1.961,0,16.253,0,17,16,13,102.5,3.5,823,32776.21
15,1.187,0.832,9.893,0.392,0.809,0.661,5.56,0.016,25.627,1.161,4.933,49.067,26.413,9.907,0.399,6.013,0.449,0.307,0,0.102,0.142,1.385,0,0.676,0.393,0.585,0.857,0,12.627,0,18,22,12.5,102.5,4,1334.5,13457.782
16,1.159,0.719,7.84,0.357,0.795,0.681,0.971,0.015,23.48,1.187,5.213,46.133,25.947,12.347,0.964,8.32,0.465,0.905,0.152,0.123,0.082,1.316,0,0.868,0.344,0.737,0.611,1.021,8.867,0,18.5,28,29.5,108,5,628.5,0
17,1.232,0.875,8.493,0.413,1.301,0.857,0.7,0.023,26.093,1.236,6.12,50,26.627,11.827,2.104,14.387,0.398,1.419,0,0.273,0.089,1.791,0,1.123,0.616,1.172,0.564,0,6.947,0,17.5,27.5,47,97,5,569.5,0
26,1.255,0.853,6.2,0.413,2.187,1.077,0,0.02,26.44,1.652,5.48,50.133,27.227,10.56,4.72,28.32,0.948,4.2,1.524,1.411,0.429,5.467,0,7.693,4.48,8.067,1.147,1.931,7.947,0,17,26.5,175,112.5,5.5,717,0
