ionMz,Metabolite,KEGG,All metabolite names
57.0346,Propanal,C00479,Propanal
59.0135,Acetatic acid,C00033;C00266,Acetic acid / Glycolaldehyde
71.0141,Pyruvaldehyde,C00546,Pyruvaldehyde
72.0093,Iminoacetate,C15809,2-iminoacetate
72.9932,Glyoxylic acid,C00048,Glyoxylic acid
73.0297,C3:0 (Propionic acid),C00163;C00424;C00937;C05999,(S)-Lactaldehyde / Lactaldehyde / Propionic acid
74.025,Glycine,C00037,Glycine
75.0089,Glycolate,C00160,Glycolate
85.0297,Diacetyl,C00741,Diacetyl
87.0088,Pyruvate,C00022;C00222,Malonic semialdehyde / Pyruvic acid
87.0452,C4:0 (Butyric acid),C00246;C00466,Acetoin / Butyric acid
88.0406,Alanine,C00041;C00099;C00133;C00213,Alanine / Sarcosine / beta-Alanine
89.0247,Lactate,C00184;C00186;C00256;C00577;C01013;C02426,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde / Lactic acid
91.0402,Glycerol,C00116,Glycerol
93.0347,Phenol,C15584,Phenol
100.0407,2-Aminobut-2-enoate,C17234,2-Aminobut-2-enoate
101.0245,Oxobutanoic acid,C00109;C00164;C00232;C00349;C06002,(S)-Methylmalonic acid semialdehyde / 2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde
101.061,Pentanoic acid,C08262,Isovaleric acid
102.0199,2-Aminomalonate semialdehyde,C11822;C20249,2-Aminomalonate semialdehyde / Peroxyaminoacrylate
102.0562,Aminobutanoic acid (ABA),C00334;C01026;C03284;C03665,"(S)-b-aminoisobutyric acid / 2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid"
103.04,Hydroxybutanoic acid,C00989;C01089;C01188;C01991,3-Hydroxybutyric acid / 3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate
104.0355,Serine,C00065;C00740,Serine
105.0196,D-Glyceric acid,C00258,Glyceric acid
107.05,Benzyl alcohol,C00556;C01468,Benzyl alcohol / p-Cresol
109.0295,Catechol,C15571,Pyrocatechol
110.0358,Cytosine,C00380,Cytosine
110.9762,Monomethyl sulfate,C02704,Methyl sulfate
111.0203,Uracil,C00106,Uracil
113.0245,"2-Hydroxy-2,4-pentadienoic acid",C00596;C07091,"2-Hydroxy-2,4-pentadienoate / cis-Acetylacrylate"
113.0358,Dihydrouracil,C00429;C02512,3-Cyano-alanine / Dihydrouracil
114.056,Proline,C00148,Proline
115.0038,Fumarate,C00122,Fumaric acid
115.0402,Ketovaline,C00141,a-Ketoisovaleric acid / alpha-Ketoisovaleric acid
115.0767,Hexanoate (N-C6:0),C01585,Hexanoate (N-C6:0)
116.0356,Aspartate semialdehyde,C00441;C03508;C20250,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid / Aspartate-semialdehyde
116.0718,Valine,C00183;C00719,Betaine / Valine
117.0194,Succinate,C00042,Succinic acid
117.0676,"L-2,4-Diaminobutanoic acid",C03283,"2,4-Diaminobutyric acid"
118.0513,Threonine,C00188;C00263;C00820;C05519,Allothreonine / Homoserine / Threonine
118.9807,Mercaptopyruvic acid,C00957,3-Mercaptopyruvic acid
119.0503,Phenylacetaldehyde,C00601,Phenylacetaldehyde
120.0127,Cys,C00097;C00793,Cysteine
121.0409,Nicotinamide,C00153,Niacinamide
124.0076,Taurine,C00245,Taurine
125.0354,Thymine,C00178,Thymine
125.0466,5-Amino-4-imidazolecarboxyamide,C04051,5-Amino-4-imidazolecarboxyamide
127.0403,"2-Hydroxy-cis-hex-2,4-dienoate",C11354,"2-Hydroxy-cis-hex-2,4-dienoate"
127.0523,Dihydrothymine,C00906,Dihydrothymine
128.0353,Pyrrolidonecarboxylic acid,C02237;C04281,Pyrrolidonecarboxylic acid / Pyrroline hydroxycarboxylic acid
128.0719,Pipecolate,C00408,Pipecolic acid
129.0194,Itaconate,C00490;C02226,Citraconic acid / Itaconic acid
129.056,4-Methyl-2-oxopentanoate,C00233;C00671;C03465,2-Keto-3-methyl-valerate / 3-Methyl-2-oxovaleric acid / Ketoleucine
129.1035,N-Acetylputrescine,C02714,N-Acetylputrescine
130.0511,5-Aminolevulinic acid,C00430;C01157;C01165;C03741,(S)-4-Amino-5-oxopentanoate / 5-Aminolevulinic acid / Glutamic-gamma-semialdehyde / Hydroxyproline
130.0876,(Iso)Leucine,C00123;C00407,Isoleucine / Leucine
131.035,Glutarate,C00489;C00900;C03589;C04181;C06010;C11838,"(4S)-4,5-Dihydroxypentan-2,3-dione / (S)-2-Acetolactate / 2-Acetolactate / 3-Hydroxy-3-methyl-2-oxobutanoic acid / 4-Hydroxy-2-oxopentanoate / Glutaric acid"
131.0466,Asparagine,C00152;C02642,Asparagine / Ureidopropionic acid
131.0828,Ornithine,C00077;C01602,Ornithine
132.0305,Aspartate,C00049,Aspartic acid
133.0144,Malate,C00149;C00497,(R)-Malate / Malic acid
133.0508,Deoxyribose,C01801;C04039;C04272;C06257,"(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid / Deoxyribose"
135.031,Hypoxanthine,C00262,Hypoxanthine
135.0456,Phenyl acetate,C03765;C07086,4-Hydroxyphenylacetaldehyde / Benzeneacetic acid
136.0404,2-Aminobenzoic acid,C00108;C00568,2-Aminobenzoic acid / p-Aminobenzoic acid
138.9798,Acetyl-P,C00227;C05682,Acetylphosphate / Phosphonoacetate
139.976,Carbamoyl phosphate,C00169,Carbamoylphosphate
142.0873,Crotonobetaine,C04114;C10172,Crotonobetaine / Stachydrine
143.108,Octanoic acid,C06423,Caprylic acid
145.0145,Oxoglutarate,C00026,Oxoglutaric acid / alpha-Ketoglutarate
145.0508,2-Aceto-2-hydroxybutanoate,C00966;C06006;C06762;C14463;C16272,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Aceto-2-hydroxy-butyrate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid
145.0621,Glutamine,C00064;C00819;C05100,Glutamine / Ureidoisobutyric acid
145.0986,Lysine,C00047,Lysine
145.1098,gamma-Butyrobetaine,C01181,gamma-Butyrobetaine
146.046,Glutamate,C00025;C00217;C00979,Glutamate / Glutamic acid / O-Acetylserine
147.0299,Hydroxyglutarate,C02630;C03196;C06032,2-Hydroxyglutaric acid / Erythro-3-Methylmalate
147.0664,"(R) 2,3-Dihydroxy-3-methylvalerate",C00522;C06007,"(R) 2,3-Dihydroxy-3-methylvalerate / (R)-Pantoate"
148.044,Methionine,C00073;C00855,Methionine
149.0096,Tartaric acid,C00552;C00898,Meso-Tartaric acid / Tartaric acid
149.0455,Pentose,C00121;C00181;C00216;C00259;C00309;C00310;C00312;C00476;C00508;C01508;C08353;C16639,Arabinose / Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose
150.0425,Guanine,C00242,Guanine
151.0264,Xanthine,C00385,Xanthine
151.0609,Xylitol,C00474;C00532,Arabitol / Ribitol
152.0021,3-Sulfino-L-alanine,C00606,3-Sulfinoalanine
152.0356,3-Hydroxyanthranilate,C00632,3-Hydroxyanthranilic acid
152.0716,Dopamine,C03758,Dopamine
153.0193,2-Pyrocatechuic acid,C00196,2-Pyrocatechuic acid
154.0623,Histidine,C00135,Histidine
154.9751,2-Phosphoglycolate,C00988,Phosphoglycolic acid
155.0099,Orotate,C00295,Orotic acid
157.0256,Dihydroorotate,C00337,"4,5-Dihydroorotic acid"
157.0504,Isopropylmaleate,C02631,Isopropylmaleate
157.0646,(2-Naphthyl)methanol,C02909;C14089,(2-Naphthyl)methanol / 1-Hydroxymethylnaphthalene
159.03,Oxoadipate,C00322,Oxoadipic acid
159.0773,Alanyl-alanine,C00993,Alanyl-alanine
160.0616,Aminoadipate,C00956,Aminoadipic acid
161.0455,2-Dehydro-3-deoxy-rhamnonate,C02488;C03979,2-Dehydro-3-deoxy-rhamnonate / 2-Ethylmalate
163.0397,3-Hydroxycinnamic acid,C00166;C12621,3-Hydroxycinnamic acid / Phenylpyruvic acid
163.0614,2-Deoxyglucose,C00507;C00586;C00861;C01019;C01721;C02338;C02476;C20835;C20836,2-Deoxyglucose / Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose
164.038,Met-oxide,C02989;C15998;C15999,Methionine (R)-S-oxide / Methionine sulfoxide / methionine (S)-S-oxide
164.0717,Phenylalanine,C00079;C02265,Phenylalanine
165.0551,3-(2-Hydroxyphenyl)propanoate,C05607;C11457,3-(3-Hydroxyphenyl)propanoic acid / 3-(3-Hydroxyphenyl)propionate / Phenyllactic acid
166.0507,Pyridoxal,C00250,Pyridoxal
166.9752,Phosphoenolpyruvate,C00074,Phosphoenolpyruvic acid
167.021,Urate,C00366,Uric acid
167.0827,Pyridoxamine,C00534,Pyridoxamine
168.0667,Pyridoxine,C00314,Pyridoxine
169.0503,"3,4-Dihydroxyphenylethyleneglycol",C05576,"3,4-Dihydroxyphenylglycol"
170.0454,"2,3,4,5-Tetrahydrodipicolinate",C03972,Tetrahydrodipicolinate
170.0825,Homoserine lactone,C11837,Homoserine lactone
171.0064,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate
172.0615,Acetyl-Glu-semialdehyde,C01250,N-Acetyl-glutamate 5-semialdehyde
173.0092,Aconitate,C00417;C02341,cis-Aconitic acid / trans-Aconitic acid
173.0455,Shikimate,C00493;C04236,2-Isopropyl-3-oxosuccinate / Shikimic acid
173.0932,Acetylornithine,C00437,N-Acetylornithine
173.1041,Arginine,C00062,Arginine
174.0409,Acetyl-Asp,C01042,N-Acetyl-aspartic acid
174.088,Citrulline,C00327,Citrulline
175.0245,Hexuronic acid,C00072;C04053;C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate / Ascorbic acid"
175.0364,Ureidosuccinic acid,C00438,Ureidosuccinic acid
175.061,3-Propylmalate,C02504;C04411,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate / 3-Isopropylmalate
177.0405,Glucono-lactone,C00198;C00204;C01216;C03383;C03926,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone / Gluconolactone
178.017,S-Carboxymethyl-Cys,C03727,S-Carboxymethyl-cysteine
178.051,N-Acetylanthranilate,C06332,N-Acetylanthranilate
179.036,3-(4-Hydroxyphenyl)pyruvate,C01179;C12623,"4-Hydroxyphenylpyruvic acid / Trans-2,3-Dihydroxycinnamate"
179.0561,2-Deoxygluconate,C00031;C00095;C00124;C00137;C00159;C00221;C00247;C00267;C00962;C00984;C01487;C01934;C02782,2-Deoxygluconate / Allose / Alpha-Galactose / Fructose / Galactose / Glucose / Inositol / Mannose / Myoinositol / Rhamnonate / Sorbose / alpha-Glucose / b-Glucose / beta-Galactose
180.0664,Tyrosine,C00082;C06420,Tyrosine
