JW ID,Gene Name,Annotation,Location,Type,Expected direction,Metabolite class,Transported metabolites
JW0401,tsx,"nucleoside channel, receptor of phage T6 and colicin K",Outer membrane,Porin,Both,Nucleoside,Nucleoside
JW2203,ompC,outer membrane porin,Outer membrane,Porin,Both,Unspecific,Unspecific
JW0912,ompF,outer membrane porin,Outer membrane,Porin,Both,Unspecific,Unspecific
JW1469,yddG,aromatic amino acid exporter,Inner membrane,Unknown,Export,Amino acid,broad range of amino acids
JW0590,cstA,carbon starvation protein,Inner membrane,Proton symport,Import,Organic acid,Pyruvate
JW3641,uhpT,hexose phosphate transporter,Inner membrane,Antiport (other),Import,Phosphorylated sugar,"glucose 6-phosphate, but potentially also fructose 6-phosphate, phosphoenolpyruvate, glyceraldehyde 3-phosphate"
JW2234,glpT,sn-glycerol-3-phosphate transporter,Inner membrane,Antiport (other),Import,Phosphorylated sugar,"glycerol-3-phosphate, potentially also glycerol-2-phosphate"
JW4028,actP,acetate transporter,Inner membrane,Sodium symport,Import,Organic acid,"Acetate, glycolate"
JW3729,rbsC,ribose ABC transporter,Inner membrane,ABC,Import,Sugar,Ribose
JW3628,gltS,glutamate transporter,Inner membrane,Sodium symport,Import,Amino acid,L and D-glutamate
JW3496,dctA,"C4-dicarboxylic acid, orotate and citrate transporter",Inner membrane,Proton symport,Import,Organic acid,"Malate, aspartate, orotate, fumarate, succinate"
JW3422,livH,leucine/isoleucine/valine transporter,Inner membrane,ABC,Import,Amino acid,"L-leucine, L-valine, L-isoleucine, L-phenylalanine, L-threonine"
JW3417,ugpA,glycerol-3-phosphate transporter,Inner membrane,ABC,Import,Phosphorylated sugar,"glycerol-3-phosphate, potentially also glycerol-2-phosphate"
JW3252,mscL,"mechanosensitive channel protein, high conductance",Inner membrane,Channel,Export,Unspecific,Unspecific
JW3130,mtr,tryptophan transporter of high affinity,Inner membrane,Proton symport,Import,Amino acid,Tryptophan
JW3087,tdcC,L-threonine/L-serine transporter,Inner membrane,Proton symport,Import,Amino acid,Threonine and serine
JW2932,nupG,nucleoside transporter,Inner membrane,Proton symport,Import,Nucleoside,"Nucleosides, including adenosine, cytidine, thymidine, uridine, inosine, etc"
JW2890,argO,arginine transporter,Inner membrane,Proton antiport,Export,Amino acid,L-arginine
JW2891,mscS,"mechanosensitive channel protein, small conductance",Inner membrane,Channel,Export,Unspecific,Unspecific
JW2657,ygaZ,"probable L-valine exporter, norvaline resistance",Inner membrane,Proton antiport,Export,Amino acid,L-valine
JW2661,emrB,multidrug efflux system protein,Inner membrane,Proton antiport,Export,Drug,Wide variety of toxic compounds
JW2571,kgtP,alpha-ketoglutarate transporter,Inner membrane,Proton symport,Import,Other,alpha-ketoglutarate
JW2389,nupC,nucleoside (except guanosine) transporter,Inner membrane,Proton symport,Import,Nucleoside,nucleosides except guanosine
JW2305,hisQ,histidine/lysine/arginine/ornithine transporter,Inner membrane,ABC,Import,Amino acid,"the basic amino acids lysine, arginine, ornithine and histidine"
JW0108,aroP,aromatic amino acid transporter,Inner membrane,Proton symport,Import,Amino acid,"phenylalanine, tyrosine, and tryptophan"
JW0194,metI,DL-methionine transporter,Inner membrane,ABC,Import,Amino acid,Methionine
JW0320,yahN,"amino acid exporter for proline, lysine, glutamate, homoserine",Inner membrane,Unknown,Export,Amino acid,L-homoserine
JW0451,acrB,multidrug efflux system,Inner membrane,Proton antiport,Export,Unspecific,Diverse
JW0565,pheP,phenylalanine transporter,Inner membrane,Proton symport,Import,Amino acid,Phenylalanine
JW0649,gltJ,"glutamate, aspartate ABC transporter",Inner membrane,ABC,Import,Amino acid,Glutamate and Aspertate
JW0795,glnP,glutamine transporter,Inner membrane,ABC,Import,Amino acid,Glutamine
JW0798,rhtA,threonine and homoserine efflux system,Inner membrane,Proton antiport,Export,Amino acid,L-homoserine and L-threonine
JW0846,artQ,arginine transporter,Inner membrane,ABC,Import,Amino acid,L-arginine
JW0887,focA,formate channel,Inner membrane,Channel,Both,Organic acid,formate
JW1235,oppA,oligopeptide transporter,Inner membrane,ABC,Import,Peptide,Oligopeptides
JW1787,yeaS,neutral amino-acid efflux system,Inner membrane,Proton antiport,Export,Amino acid,"Leucine, Methionine"
JW1942,yedA,"amino acid exporter for phenylalanine, threonine",Inner membrane,Unknown,Export,Amino acid,"Drug, phenylalanine, threonine"
JW2143,lysP,lysine transporter,Inner membrane,Proton symport,Import,Amino acid,Lysine
JW2767,sdaC,predicted serine transporter,Inner membrane,Proton symport,Import,Amino acid,Serine
