,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Species,Dataset
0,"1,3-diaminopropane",Galactose,,,E. coli,SINTEF-23
1,"1,3-diaminopropane",L-malate,,,E. coli,SINTEF-23
2,"1,3-diaminopropane",L-alanine,,,E. coli,SINTEF-23
3,"2,5-dihydroxybenzoate",Galactose,,,E. coli,SINTEF-23
4,"2,5-dihydroxybenzoate",L-malate,,,E. coli,SINTEF-23
5,"2,5-dihydroxybenzoate",L-alanine,,,E. coli,SINTEF-23
6,2-aminoisobutyrate,Galactose,,,E. coli,SINTEF-23
7,2-aminoisobutyrate,L-malate,,,E. coli,SINTEF-23
8,2-aminoisobutyrate,L-alanine,,,E. coli,SINTEF-23
9,2-hydroxybutyrate,Galactose,,,E. coli,SINTEF-23
10,2-hydroxybutyrate,L-malate,,,E. coli,SINTEF-23
11,2-hydroxybutyrate,L-alanine,,,E. coli,SINTEF-23
12,2-hydroxyglutaric acid,Galactose,,,E. coli,SINTEF-23
13,2-hydroxyglutaric acid,L-malate,,,E. coli,SINTEF-23
14,2-hydroxyglutaric acid,L-alanine,,,E. coli,SINTEF-23
15,2-phosphoglycerate,Glucose,0.0003232301996616,1.5433750699483736e-05,E. coli,Paczia-13
16,2-phosphoglycerate,Glucose,0.0001933156093422,7.873344323204262e-06,C. glutamicum,Paczia-13
17,2-phosphoglycerate,Glucose,0.0009226827811686,8.478450738945099e-05,B. licheniformis,Paczia-13
18,3-(4-hydroxyphenyl)pyruvate,Galactose,,,E. coli,SINTEF-23
19,3-(4-hydroxyphenyl)pyruvate,L-malate,,,E. coli,SINTEF-23
20,3-(4-hydroxyphenyl)pyruvate,L-alanine,,,E. coli,SINTEF-23
21,3-hydroxyanthranilate,Galactose,,,E. coli,SINTEF-23
22,3-hydroxyanthranilate,L-malate,,,E. coli,SINTEF-23
23,3-hydroxyanthranilate,L-alanine,,,E. coli,SINTEF-23
24,3-hydroxybutyrate,Galactose,,,E. coli,SINTEF-23
25,3-hydroxybutyrate,L-malate,,,E. coli,SINTEF-23
26,3-hydroxybutyrate,L-alanine,,,E. coli,SINTEF-23
27,3-hydroxyglutaric acid,Galactose,,,E. coli,SINTEF-23
28,3-hydroxyglutaric acid,L-malate,,,E. coli,SINTEF-23
29,3-hydroxyglutaric acid,L-alanine,,,E. coli,SINTEF-23
30,3-hydroxyphenylacetate,Galactose,,,E. coli,SINTEF-23
31,3-hydroxyphenylacetate,L-malate,,,E. coli,SINTEF-23
32,3-hydroxyphenylacetate,L-alanine,,,E. coli,SINTEF-23
33,3-phosphoglycerate,Glucose,0.0003232301996616,1.5433750699483736e-05,E. coli,Paczia-13
34,3-phosphoglycerate,Glucose,0.0001933156093422,7.873344323204262e-06,C. glutamicum,Paczia-13
35,3-phosphoglycerate,Glucose,0.0009226827811686,8.478450738945099e-05,B. licheniformis,Paczia-13
36,4-acetamidobutanoate,Galactose,,,E. coli,SINTEF-23
37,4-acetamidobutanoate,L-malate,,,E. coli,SINTEF-23
38,4-acetamidobutanoate,L-alanine,,,E. coli,SINTEF-23
39,4-imidazoleacetate,Galactose,,,E. coli,SINTEF-23
40,4-imidazoleacetate,L-malate,,,E. coli,SINTEF-23
41,4-imidazoleacetate,L-alanine,,,E. coli,SINTEF-23
42,Acetate,Galactose,0.2037245636129564,0.1067708730988282,E. coli,SINTEF-23
43,Acetate,L-malate,0.6140630198971179,0.2666269001649362,E. coli,SINTEF-23
44,Acetate,L-alanine,2.114485185426341,0.4731117577039285,E. coli,SINTEF-23
45,Acetate,Glucose,1.544754107109071,0.1880194933834042,E. coli,Paczia-13
46,Acetate,Glucose,2.0035338561122833,0.1457603252297597,B. licheniformis,Paczia-13
47,Acetate,Glucose,0.2850471928293728,0.0376362012902426,S. cerevisiae,Paczia-13
48,Adenosine,Galactose,,,E. coli,SINTEF-23
49,Adenosine,L-malate,,,E. coli,SINTEF-23
50,Adenosine,L-alanine,,,E. coli,SINTEF-23
51,"Adenosine 3',5'-cyclic phosphate",Galactose,,,E. coli,SINTEF-23
52,"Adenosine 3',5'-cyclic phosphate",L-malate,,,E. coli,SINTEF-23
53,"Adenosine 3',5'-cyclic phosphate",L-alanine,,,E. coli,SINTEF-23
54,Adipate,Galactose,,,E. coli,SINTEF-23
55,Adipate,L-malate,,,E. coli,SINTEF-23
56,Adipate,L-alanine,,,E. coli,SINTEF-23
57,Aicar,Galactose,,,E. coli,SINTEF-23
58,Aicar,L-malate,,,E. coli,SINTEF-23
59,Aicar,L-alanine,,,E. coli,SINTEF-23
60,Alanine,Galactose,-0.0005832213060638,0.0001477202193286,E. coli,SINTEF-23
61,Alanine,L-malate,-0.0024235603365261,0.0002999839734221,E. coli,SINTEF-23
62,Alanine,L-alanine,-17.25209652088157,0.6062022748175045,E. coli,SINTEF-23
63,Alanine,Glucose,9.975274134111496e-05,1.1566108023206015e-05,E. coli,Paczia-13
64,Alanine,Glucose,0.0013987545202311,0.0001009745648747,C. glutamicum,Paczia-13
65,Alanine,Glucose,0.0249872244376889,0.0070172641273473,B. licheniformis,Paczia-13
66,Alanine,Glucose,0.0001557233170833,0.0001476009205767,S. cerevisiae,Paczia-13
67,Allantoin,Galactose,,,E. coli,SINTEF-23
68,Allantoin,L-malate,,,E. coli,SINTEF-23
69,Allantoin,L-alanine,,,E. coli,SINTEF-23
70,Alpha-aminoadipate,Galactose,2.8487276957775643e-05,1.6495722382413477e-05,E. coli,SINTEF-23
71,Alpha-aminoadipate,L-malate,4.220041571529238e-05,4.062508752669296e-05,E. coli,SINTEF-23
72,Alpha-aminoadipate,L-alanine,6.407048415693967e-05,2.352562132024874e-05,E. coli,SINTEF-23
73,Alpha-aminobutyrate,Galactose,,,E. coli,SINTEF-23
74,Alpha-aminobutyrate,L-malate,,,E. coli,SINTEF-23
75,Alpha-aminobutyrate,L-alanine,0.187598139539883,0.0204495612209364,E. coli,SINTEF-23
76,Alpha-glucose (cl adduct),Galactose,,,E. coli,SINTEF-23
77,Alpha-glucose (cl adduct),L-malate,,,E. coli,SINTEF-23
78,Alpha-glucose (cl adduct),L-alanine,,,E. coli,SINTEF-23
