,Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,Metabolite value,log10(Metabolite value [gDW/mmol],log10(Metabolite concentration)
0,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,16,0.06891003967401388,-1.161717500046125,-inf
1,0.0,Butyric acid,D-Glucose,Ecoli,1,16,0.07365132890740378,-1.1328194126781639,-inf
2,0.0,Valine,D-Glucose,Ecoli,1,16,0.09421025204151001,-1.0259018343324946,-inf
3,5.85,Pyruvic acid,D-Glucose,Ecoli,1,16,0.040830626307203355,-1.3890139583166246,0.7671558660821804
4,3.94,Propionic acid,D-Glucose,Ecoli,1,16,0.056497973999025675,-1.2479671255755957,0.5954962218255742
5,0.0,Acetyl-ornithine,D-Glucose,Ecoli,1,16,0.12899295949505007,-0.8894339930797603,-inf
6,0.0,Alanine,D-Glucose,Ecoli,1,16,0.04924974119804304,-1.307596047329966,-inf
7,952.0,Acetic acid,D-Glucose,Ecoli,1,16,0.029587159450122913,-1.5288967277881196,2.9786369483844743
8,0.0,Asparagine,D-Glucose,Ecoli,1,16,0.05861131589811053,-1.2320185280489766,-inf
9,0.0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,16,,,-inf
10,0.0,Serine,D-Glucose,Ecoli,1,16,0.046224276673567655,-1.3351298760397683,-inf
11,3.08,Glycine,D-Glucose,Ecoli,1,16,0.028098031801826462,-1.5513241002921763,0.4885507165004443
12,0.633,Succinic acid,D-Glucose,Ecoli,1,16,0.05753175263602528,-1.2400923955110812,-0.1985962899826449
13,0.0933,Methionine,D-Glucose,Ecoli,1,16,0.1577201028715003,-0.8021129483341026,-1.0301183562535001
14,0.924,Fumaric acid,D-Glucose,Ecoli,1,16,0.05339376534566065,-1.2725094514743316,-0.03432802877989328
15,0.23,Valeric acid,D-Glucose,Ecoli,1,16,,,-0.638272163982407
16,0.796,Citric acid,D-Glucose,Ecoli,1,16,0.0782223114217051,-1.1066693550566018,-0.09908693226233094
17,0.0,Lactic acid,D-Glucose,Ecoli,1,16,0.0533777654366685,-1.2726396111187115,-inf
18,0.327,Putrescine,D-Glucose,Ecoli,1,16,0.10003721892554163,-0.9998383903329746,-0.4854522473397139
19,0.0,Hippuric acid,D-Glucose,Ecoli,1,16,,,-inf
20,0.0,Lactic acid,D-Glucose,Ecoli,2,16,0.0533777654366685,-1.2726396111187115,-inf
21,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,16,0.06891003967401388,-1.161717500046125,-inf
22,3.93,Pyruvic acid,D-Glucose,Ecoli,2,16,0.040830626307203355,-1.3890139583166246,0.5943925503754267
23,0.574,Succinic acid,D-Glucose,Ecoli,2,16,0.05753175263602528,-1.2400923955110812,-0.2410881076020265
24,0.0,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,16,,,-inf
25,0.0,Valine,D-Glucose,Ecoli,2,16,0.09421025204151001,-1.0259018343324946,-inf
26,0.181,Valeric acid,D-Glucose,Ecoli,2,16,,,-0.7423214251308154
27,0.0,Serine,D-Glucose,Ecoli,2,16,0.046224276673567655,-1.3351298760397683,-inf
28,4.28,Propionic acid,D-Glucose,Ecoli,2,16,0.056497973999025675,-1.2479671255755957,0.631443769013172
29,0.6,Asparagine,D-Glucose,Ecoli,2,16,0.05861131589811053,-1.2320185280489766,-0.2218487496163564
30,0.379,Acetyl-ornithine,D-Glucose,Ecoli,2,16,0.12899295949505007,-0.8894339930797603,-0.42136079003192767
31,0.289,Putrescine,D-Glucose,Ecoli,2,16,0.10003721892554163,-0.9998383903329746,-0.5391021572434522
32,2.97,Glycine,D-Glucose,Ecoli,2,16,0.028098031801826462,-1.5513241002921763,0.4727564493172124
33,0.727,Citric acid,D-Glucose,Ecoli,2,16,0.0782223114217051,-1.1066693550566018,-0.1384655891409622
34,0.0,Alanine,D-Glucose,Ecoli,2,16,0.04924974119804304,-1.307596047329966,-inf
35,0.856,Fumaric acid,D-Glucose,Ecoli,2,16,0.05339376534566065,-1.2725094514743316,-0.06752623532284678
36,0.0,Hippuric acid,D-Glucose,Ecoli,2,16,,,-inf
