,iML1515 metabolite ID,Metabolite name,Membrane,Direction,Transport type,iML1515 transport reaction ID,Genes
0,26dap__M,"Meso-2,6-Diaminoheptanedioate",inner,Import,ATP-binding cassette transporter,DAPabcpp,
1,26dap__M,"Meso-2,6-Diaminoheptanedioate",outer,Import and Export,Diffusion,26DAHtex,"b1377, b0929, b2215, b0241"
2,3hcinnm,3-hydroxycinnamic acid,inner,Import and Export,Proton symport,HCINNMt2rpp,b0353
3,3hcinnm,3-hydroxycinnamic acid,outer,Import and Export,Diffusion,HCINNMtex,"b1377, b0929, b2215, b0241"
4,3hpppn,3-(3-hydroxy-phenyl)propionate,outer,Import and Export,Diffusion,HPPPNtex,"b1377, b0241, b0929, b2215"
5,3hpppn,3-(3-hydroxy-phenyl)propionate,inner,Import and Export,Proton symport,HPPPNt2rpp,b0353
6,ac,Acetate,inner,Import,Sodium symport,ACt4pp,b4067
7,ac,Acetate,outer,Import and Export,Diffusion,ACtex,"b1377, b0929, b2215, b0241"
8,ac,Acetate,inner,Import and Export,Proton symport,ACt2rpp,b0010
9,acald,Acetaldehyde,inner,Import and Export,Diffusion,ACALDtpp,
10,acald,Acetaldehyde,outer,Import and Export,Diffusion,ACALDtex,"b1377, b0929, b2215, b0241"
11,acmana,N-Acetyl-D-mannosamine,outer,Import and Export,Diffusion,ACMANAtex,"b1377, b0929, b2215, b0241"
12,acmana,N-Acetyl-D-mannosamine,inner,Import,PEP group translocation,ACMANAptspp,"b2415, b1819, b1818, b1817, b2416"
13,acmum,N-Acetylmuramate,inner,Import,PEP group translocation,ACMUMptspp,"b2417, b2415, b2416, b2429"
14,acmum,N-Acetylmuramate,outer,Import,Diffusion,ACMUMtex,"b1377, b0929, b2215, b0241"
15,succ,Succinate,inner,Export,cit antiporter,CITt7pp,b0612
16,succ,Succinate,inner,Import and Export,asp__L antiporter,SUCASPtpp,"b4138, b4123, b0621"
17,succ,Succinate,inner,Import and Export,mal__L antiporter,SUCMALtpp,"b4138, b4123, b0621"
18,succ,Succinate,inner,Import,Proton antiport,SUCCt2_3pp,"b4138, b4123"
19,succ,Succinate,inner,Import and Export,tartr__D antiporter,SUCTARTtpp,b4123
20,succ,Succinate,inner,Import and Export,fum antiporter,SUCFUMtpp,"b4138, b4123, b0621"
21,succ,Succinate,outer,Import and Export,Diffusion,SUCCtex,"b1377, b0929, b2215, b0241"
22,succ,Succinate,inner,Import,Proton antiport,SUCCt2_2pp,"b0010, b3528"
23,succ,Succinate,inner,Import and Export,Diffusion,SUCCt1pp,b1206
24,succ,Succinate,inner,Import and Export,tartr__L antiporter,TARTRt7pp,b3063
25,fum,Fumarate,inner,Import,Proton antiport,FUMt2_2pp,b3528
26,fum,Fumarate,outer,Import and Export,Diffusion,FUMtex,"b1377, b0929, b2215, b0241"
27,fum,Fumarate,inner,Import and Export,succ antiporter,SUCFUMtpp,"b4138, b4123, b0621"
28,fum,Fumarate,inner,Import,Proton antiport,FUMt2_3pp,"b4138, b4123, b0621"
29,fum,Fumarate,inner,Import and Export,Diffusion,FUMt1pp,b1206
30,sucr,Sucrose C12H22O11,inner,Import,PEP group translocation,SUCptspp,"b2417, b2415, b2416, b2429"
31,sucr,Sucrose C12H22O11,outer,Import and Export,Diffusion,SUCRtex,"b1377, b0929, b2215, b0241"
32,so4,Sulfate,outer,Import and Export,Diffusion,SO4tex,"b1377, b0929, b2215, b0241"
33,so4,Sulfate,inner,Import,Proton symport,SO4t2pp,b2413
34,so4,Sulfate,inner,Import,ATP-binding cassette transporter,SULabcpp,"b2425, b2424, b0763, b3917, b0764, b2423, b2422, b0765"
35,tsul,Thiosulfate,outer,Import and Export,Diffusion,TSULtex,"b1377, b0929, b2215, b0241"
36,tsul,Thiosulfate,inner,Import,ATP-binding cassette transporter,TSULabcpp,"b2425, b2424, b2423, b3917, b2422"
37,tartr__L,L-tartrate,inner,Import and Export,succ antiporter,TARTRt7pp,b3063
38,tartr__L,L-tartrate,outer,Import and Export,Diffusion,TARTRtex,"b1377, b0929, b2215, b0241"
39,taur,Taurine C2H7NO3S,inner,Import,ATP-binding cassette transporter,TAURabcpp,"b0365, b0367, b0366"
40,taur,Taurine C2H7NO3S,outer,Import and Export,Diffusion,TAURtex,"b1377, b0929, b2215, b0241"
41,thymd,Thymidine C10H14N2O5,inner,Import,Proton symport,THMDt2pp_copy1,"b2964, b2393"
42,thymd,Thymidine C10H14N2O5,inner,Import and Export,Proton symport,THMDt2pp_copy2,b2406
43,thymd,Thymidine C10H14N2O5,outer,Import and Export,Diffusion,THMDtex,"b1377, b0929, b2215, b0241"
44,nmn,NMN C11H14N2O8P,outer,Import and Export,Diffusion,NMNtex,"b1377, b0929, b2215, b0241"
45,nmn,NMN C11H14N2O8P,inner,Import,Diffusion,NMNPtpp,b0751
46,nmn,NMN C11H14N2O8P,inner,Import,Other active transport,NMNt7pp,
47,glu__L,L-Glutamate,inner,Import and Export,4abut antiporter,GLUABUTt7pp,b1492
48,glu__L,L-Glutamate,outer,Import and Export,Diffusion,GLUtex,"b1377, b0929, b2215, b0241"
49,glu__L,L-Glutamate,inner,Import,ATP-binding cassette transporter,GLUabcpp,"b0654, b0655, b0653, b0652"
50,glu__L,L-Glutamate,inner,Import,Sodium symport,GLUt4pp,b3653
51,glu__L,L-Glutamate,inner,Import and Export,Proton symport,GLUt2rpp,b4077
52,k,Potassium,inner,Import,Proton symport,Kt2pp,"b1291, b3747, b3290, b1250, b3849, b1363"
53,k,Potassium,inner,Import,ATP-binding cassette transporter,Kabcpp,"b0696, b0697, b4513, b0698"
54,k,Potassium,inner,Export,Proton antiport,Kt3pp,"b0047, b0842, b1216, b3350"
55,k,Potassium,outer,Import and Export,Diffusion,Ktex,"b1377, b0929, b2215, b0241"
56,gly,Glycine,outer,Import and Export,Diffusion,GLYtex,"b1377, b0929, b2215, b0241"
57,gly,Glycine,inner,Import,Proton symport,GLYt2pp,"b1801, b4208"
58,gly,Glycine,inner,Import and Export,Diffusion,GLYtpp,b3927
59,gly,Glycine,inner,Import,Sodium symport,GLYt4pp,b0007
60,glyald,D-Glyceraldehyde,outer,Import and Export,Diffusion,GLYALDtex,"b1377, b0929, b2215, b0241"
61,glyald,D-Glyceraldehyde,inner,Import and Export,Diffusion,GLYALDtpp,b3927
62,akg,2-Oxoglutarate,outer,Import and Export,Diffusion,AKGtex,"b1377, b0929, b2215, b0241"
63,akg,2-Oxoglutarate,inner,Import and Export,Proton symport,AKGt2rpp,b2587
64,xyl__D,D-Xylose,inner,Import,ATP-binding cassette transporter,XYLabcpp,"b3568, b3566, b3567"
65,xyl__D,D-Xylose,inner,Import,Proton symport,XYLt2pp,b4031
66,xyl__D,D-Xylose,outer,Import and Export,Diffusion,XYLtex,"b1377, b0929, b2215, b0241"
67,glyb,Glycine betaine,inner,Import,ATP-binding cassette transporter,GLYBabcpp,"b2677, b2679, b2128, b2678, b2129, b2130, b2131"
68,glyb,Glycine betaine,inner,Export,Proton antiport,GLYBt3pp,b0543
69,glyb,Glycine betaine,inner,Import,Proton symport,GLYBt2pp,"b1801, b4111"
70,glyb,Glycine betaine,outer,Import and Export,Diffusion,GLYBtex,"b1377, b0929, b2215, b0241"
71,glyc,Glycerol,outer,Import and Export,Diffusion,GLYCtex,"b1377, b0929, b2215, b0241"
72,glyc,Glycerol,inner,Import and Export,Diffusion,GLYCtpp,b3927
73,glyc3p,Glycerol 3-phosphate,inner,Import,ATP-binding cassette transporter,GLYC3Pabcpp,"b3452, b3450, b3451, b3453"
74,glyc3p,Glycerol 3-phosphate,inner,Import,pi antiporter,GLYC3Pt6pp,b2240
75,glyc3p,Glycerol 3-phosphate,outer,Import and Export,Diffusion,GLYC3Ptex,"b1377, b0929, b2215, b0241"
76,glyclt,Glycolate C2H3O3,outer,Import and Export,Diffusion,GLYCLTtex,"b1377, b0929, b2215, b0241"
77,glyclt,Glycolate C2H3O3,inner,Import,Sodium symport,GLYCLTt4pp,b4067
78,glyclt,Glycolate C2H3O3,inner,Import and Export,Proton symport,GLYCLTt2rpp,"b3603, b2975"
