,Metabolite name,Metabolite id,Mass,Charge,Phosphate,Topological Polar Surface Area,log P,Metabolite class,Pathway,Average carbon oxidation,Leakage (mM/gDW/h),Time,Glucose,Predicted growth rate,Shadow price,Turnover,Uptake (mM/gDW/h),log10(leakage),log10(-Shadow price),log10(Turnover)
0,Glucose-6-phosphate,g6p,258.119901,-2,1,165,-4.5,Phosphorylated sugar,Glycolysis,0.833333333,0.708294335,4,9.794747395,0.710765825,-0.018942182,9.794747395,0,-0.149786232,-1.72256999,0.99099324
1,Fructose-6-phosphate,f6p,258.119901,-2,1,165,-4.3,Phosphorylated sugar,Glycolysis,0.833333333,1.720849347,4,9.794747395,0.710765825,-0.019039517,8.831865113,0,0.235742851,-1.72034408,0.946052428
2,"Fructose-1,6-bisphosphate",fdp,336.083922,-4,2,215,-5.9,Phosphorylated sugar,Glycolysis,3.333333333,0,4,9.794747395,0.710765825,,,0.014508802,#NAME?,,
3,Dihydroxyacetonephosphate,dhap,168.041961,-2,1,104,-5.9,Other,Glycolysis,1.666666667,1.598849871,4,9.794747395,0.710765825,-0.014462945,8.764706272,0,0.203807686,-1.83974326,0.942737366
4,Glyceraldehyde-3-phosphate,g3p,168.041961,-2,1,104,-2.75,Other,Glycolysis,1.666666667,0.064888294,4,9.794747395,0.710765825,-0.014467001,17.74042399,0,-1.187833642,-1.839621478,1.248963995
5,2/3-phosphoglycerate,"2pg, 3pg",183.033421,-3,1,124,-2.6,Phosphorylated sugar,Glycolysis,2.333333333,0.138837111,4,9.794747395,0.710765825,-0.009158075,17.46736411,0,-0.857494431,-2.038195794,1.242227373
6,Phosphoenolpyruvate,pep,165.018141,-3,1,104,-1.1,Phosphorylated sugar,Glycolysis,2.333333333,0.08036401,4,9.794747395,0.710765825,-0.010512882,17.46736411,0,-1.094938403,-1.97827821,1.242227373
7,Pyruvate,pyr,87.05412,-1,0,57.2,-0.6,Organic acid,Glycolysis,0.666666667,1236.78727,4,9.794747395,0.710765825,-0.003971162,14.2875446,0,3.092295007,-2.401082403,1.154957599
8,Ribose-5-phosphate,r5p,228.093921,-2,1,137,-3.6,Phosphorylated sugar,PPP,1,0.150298591,4,9.794747395,0.710765825,-0.016631188,0.934590959,0,-0.82304509,-1.779076728,-0.029378425
9,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",228.093921,-2,1,145,-3.7,Phosphorylated sugar,PPP,1,0.037914492,4,9.794747395,0.710765825,-0.016985991,0.376243001,0,-1.421194762,-1.769909102,-0.42453157
