,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Species,Dataset
0,Phenylalanine,Galactose,1.2315561015131713e-05,3.414898263835093e-06,E. coli,SINTEF-23
1,Phenylalanine,Galactose,1.019937352646367e-05,inf,E. coli,SINTEF-23
2,Phenylalanine,Galactose,1.876260948454432e-05,1.195798026985265e-05,E. coli,SINTEF-23
3,Phenylalanine,L-malate,,,E. coli,SINTEF-23
4,Phenylalanine,L-malate,,,E. coli,SINTEF-23
5,Phenylalanine,L-alanine,5.8196472337569e-06,7.079157123852594e-07,E. coli,SINTEF-23
6,Phenylalanine,L-alanine,1.7479501306523924e-05,8.661792764398677e-06,E. coli,SINTEF-23
7,Phenylalanine,L-alanine,4.97250505859416e-05,3.894886888651497e-06,E. coli,SINTEF-23
8,Phenylalanine,Glucose,1.8682540912683973e-05,1.6190705184403033e-06,E. coli,Paczia-13
9,Phenylalanine,Glucose,0.0001642134596648,7.648502442319452e-06,B. licheniformis,Paczia-13
10,Phenylalanine,Glucose,1.9959724864135424e-05,8.820682821494329e-06,S. cerevisiae,Paczia-13
11,Leucine,Galactose,0.0002996785150166,inf,E. coli,SINTEF-23
12,Leucine,Galactose,0.0001199244781806,inf,E. coli,SINTEF-23
13,Leucine,Galactose,0.0001151068607708,inf,E. coli,SINTEF-23
14,Leucine,L-malate,7.221432413508223e-05,inf,E. coli,SINTEF-23
15,Leucine,L-malate,5.368934579134557e-05,inf,E. coli,SINTEF-23
16,Leucine,L-alanine,0.0001094746056276,3.457698580920679e-05,E. coli,SINTEF-23
17,Leucine,L-alanine,-0.0001286877688392,6.771672802778762e-05,E. coli,SINTEF-23
18,Leucine,L-alanine,0.0002822074471149,4.020543678613663e-05,E. coli,SINTEF-23
19,Leucine,Glucose,6.869210804782705e-05,3.862222627470991e-06,E. coli,Paczia-13
20,Leucine,Glucose,5.798116184413137e-05,1.948211440754264e-05,B. licheniformis,Paczia-13
21,Isoleucine,Galactose,-1.0952734720723656e-05,3.484217338740509e-06,E. coli,SINTEF-23
22,Isoleucine,Galactose,,,E. coli,SINTEF-23
23,Isoleucine,Galactose,-1.9424173008247427e-05,inf,E. coli,SINTEF-23
24,Isoleucine,L-malate,,,E. coli,SINTEF-23
25,Isoleucine,L-malate,4.476141067214557e-05,inf,E. coli,SINTEF-23
26,Isoleucine,L-malate,,,E. coli,SINTEF-23
27,Isoleucine,L-alanine,0.0007341903741088,inf,E. coli,SINTEF-23
28,Isoleucine,L-alanine,0.0003866547280753,0.000143779161424,E. coli,SINTEF-23
29,Isoleucine,L-alanine,0.0007982162116325,7.11503125009095e-05,E. coli,SINTEF-23
30,Isoleucine,Glucose,7.10907099055252e-05,3.09396015686778e-06,E. coli,Paczia-13
31,Isoleucine,Glucose,5.798116184413137e-05,1.948211440754264e-05,B. licheniformis,Paczia-13
32,Methionine,Galactose,3.0726607433228778e-06,inf,E. coli,SINTEF-23
33,Methionine,Galactose,-1.2220031487298393e-06,inf,E. coli,SINTEF-23
34,Methionine,Galactose,1.0073867786488652e-05,inf,E. coli,SINTEF-23
35,Methionine,L-malate,5.0335316941599754e-05,inf,E. coli,SINTEF-23
36,Methionine,L-malate,2.966956581216315e-05,1.1663880620585834e-06,E. coli,SINTEF-23
37,Methionine,L-malate,1.2785878349094657e-05,inf,E. coli,SINTEF-23
38,Methionine,L-alanine,1.1725140019988844e-05,6.6620258185482795e-06,E. coli,SINTEF-23
