,log10(Rate [mmol/gDW/h])
0,-4.847586371124093
1,-4.991426502978894
2,-4.726706756755687
3,-4.920733559704844
4,-5.310714683471846
5,-5.235103340450922
6,-4.757470967404329
7,-4.303424766206702
8,-4.729263855330642
9,-3.787310307687811
10,-4.699450390333765
11,-3.8272513969388626
12,-3.9210921625746273
13,-3.927893952752512
14,-4.1413766490182855
15,-4.151269280812486
16,-3.353496341151302
17,-3.4655971973966873
18,-3.160092639669037
19,-4.163592226542327
20,-4.237223524973268
21,
22,-5.644778113567904
23,
24,-4.991224603497279
25,-4.349096234971846
26,-3.992215048238582
27,-3.07854864413244
28,-3.289593227779313
29,-3.07986578356007
30,-4.148735057135438
31,-4.237223524973268
32,-5.512485388150458
33,
34,-4.9968037533027925
35,-4.1849929128886085
36,-4.410510934197569
37,-4.5615867757603725
38,-4.930881963005528
39,-4.966048742454792
40,-4.553153955564031
41,-4.876018420242818
42,-4.440323833399645
43,-2.709746849106229
44,-4.691772587627269
45,-3.928675197903483
46,-2.7908319411374465
47,-3.4989510750419903
48,-2.65000562904454
49,-2.1161516404136087
50,-2.0058251333193993
51,-2.1275610990142195
52,
53,
54,-4.975699959330718
55,
56,
57,
58,-3.4000990497788064
59,-3.7350539242341254
60,-3.2420634905846257
61,-4.4558347203225885
63,-3.024010585585542
64,-3.0321721436122733
65,-4.99832007196712
66,-4.809301982337711
67,-2.635506256291044
68,-2.410363024449549
69,-2.4861787078764754
70,-4.1836435427224625
71,-3.2382881828153454
72,-4.33005622261508
73,-4.9299512213071255
74,-5.2302540882827895
75,-5.183096704362572
76,-4.823243133310233
77,-5.046652891035584
78,-4.679061378363978
79,-4.70518156123896
80,-4.683582124266175
81,-4.667404173305869
82,-4.368643699947889
83,-4.437395814060232
84,-4.479384496935665
85,-3.833773940566562
86,-3.94795589845766
87,-3.2917512501673785
88,-3.3595800037950845
89,-3.39599957249587
90,-3.3798147505824883
91,
92,
93,
94,
95,
96,
97,-3.96893407915511
99,-1.429980637905962
100,-5.814933981743263
101,-5.726574854906052
102,-5.870510436920382
103,-6.121020630350996
104,
105,
106,-5.797953969503525
107,
108,
109,-4.700026440361589
110,-5.032216647585338
111,-4.877661399077375
112,-4.960362355476159
113,-4.44462634207333
114,-4.464876473287362
115,-4.069938042872721
116,-4.268158979457718
117,-4.190086920283891
118,-2.60300875993592
119,-2.9849960150894748
120,-2.30131801208511
121,-2.278712099009438
122,-2.3816681094852385
123,-2.6733854698688004
124,-2.78237025799195
125,-2.817801579742256
126,-2.377215814619342
128,-2.0207542122219535
129,-4.045291075469658
130,-3.6399326557262017
131,-5.075514121022582
132,-3.4023055698834255
133,-3.676111467396175
134,-3.61895553021674
135,-2.165235584791595
136,-1.9932423713998744
137,-2.2404428008753206
139,-3.6279549063778913
140,-4.193434464853682
141,-3.994294800128115
142,-4.019359361179546
143,-3.771212166674742
144,-2.284048624942241
145,-2.268815290039325
146,-2.2541504359399847
147,-3.715747362940776
148,-3.600909154627049
149,
150,-4.241930780052214
151,-4.310319319137622
152,-4.942002059367302
153,-2.7151216025908718
154,-2.563568285098894
155,-0.9206930830026296
156,-0.5362922198318935
