,BiGG ID,Metabolite,Rate [mmol/gDW/h],Metabolite value [gDW/mmol],Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Species,Carbon source,Dataset
0,g6p_A,Glucose-6-phosphate,0.001815705613309207,0.08101741832579057,5.3,6,259.127841,B. licheniformis,Glucose,Paczia-13
1,f6p_B,Fructose-6-phosphate,0.0007798065891321033,0.08101852969955581,5.198243158198911,6,259.127841,B. licheniformis,Glucose,Paczia-13
2,fdp_B,"Fructose-1,6-bisphosphate",-2.2290233815899512e-05,0.08645164284453721,4.8923083422098514,6,338.099802,B. licheniformis,Glucose,Paczia-13
3,dhap,Dihydroxyacetonephosphate,0.0009053751961758618,0.043233409785242705,31.144643825091222,3,169.049901,B. licheniformis,Glucose,Paczia-13
4,g3p,Glyceraldehyde-3-phosphate,0.0002777098353519472,0.043233507795265025,9.572013295677014,3,169.049901,B. licheniformis,Glucose,Paczia-13
5,2pg,2/3-phosphoglycerate,0.0011634662661551371,0.034358099159331745,8.110630041331474,3,184.041361,B. licheniformis,Glucose,Paczia-13
6,3pg,2/3-phosphoglycerate,0.0011634662661551371,0.034358099159331745,9.380939735434767,3,184.041361,B. licheniformis,Glucose,Paczia-13
7,pep,Phosphoenolpyruvate,0.0008793889391690532,0.034410607201806886,8.110630041331474,3,166.026081,B. licheniformis,Glucose,Paczia-13
8,r5p,Ribose-5-phosphate,0.0011145513920963609,0.06842569820150746,0.1985723707348461,5,229.10186099999999,B. licheniformis,Glucose,Paczia-13
9,ru5p__D,Ribu-/Xylulose-5-phosphate,0.00015579666356977957,0.06842548194657128,0.17380890676625865,5,229.10186099999999,B. licheniformis,Glucose,Paczia-13
10,ru5p__L,Ribu-/Xylulose-5-phosphate,0.00015579666356977957,0.0684717083965114,0.0,5,229.10186099999999,B. licheniformis,Glucose,Paczia-13
11,xu5p__D,Ribu-/Xylulose-5-phosphate,0.00015579666356977957,0.06842491441560461,0.17380890676625865,5,229.10186099999999,B. licheniformis,Glucose,Paczia-13
12,e4p,Erythrose-4-phosphate,2.4006959064244546e-05,0.055827195753666015,0.16589288187041928,4,199.075881,B. licheniformis,Glucose,Paczia-13
13,cit,Citrate,0.005347225038896686,0.05669382804224243,4.523750981087232,6,189.0997,B. licheniformis,Glucose,Paczia-13
14,acon,Cis-aconitate,0.0005908451959066858,0.0566970504727371,4.48349442140708,6,171.08442,B. licheniformis,Glucose,Paczia-13
15,icit,Isocitrate,0.0009174293307948615,0.05670027290322621,4.48349442140708,6,189.0997,B. licheniformis,Glucose,Paczia-13
16,asn__L,Asparagine,8.696520069241675e-05,0.05608253557503051,0.06849954015670642,4,132.11792,B. licheniformis,Glucose,Paczia-13
17,glu__L,Glutamate,0.005895708179699767,0.055831196780309345,3.4652478174840655,5,146.12132,B. licheniformis,Glucose,Paczia-13
18,ser__L,L-serine,1.938880328710837e-05,0.038228630475645176,1.322945764493721,3,105.09258,B. licheniformis,Glucose,Paczia-13
19,asp__L,Aspartate,4.152096423713328e-05,0.043249567124814536,0.6862796233403216,4,132.09474,B. licheniformis,Glucose,Paczia-13
20,gln__L,Glutamine,0.0008890191989950809,0.063534422479683,0.6530947471902389,5,146.1445,B. licheniformis,Glucose,Paczia-13
21,hom__L,Homoserine,0.00035491291273643735,0.05906896159680319,0.052456811716337655,4,119.11916,B. licheniformis,Glucose,Paczia-13
22,tyr__L,Tyrosine,1.1055345671723247e-05,0.13834992811235236,0.051282815060297984,9,181.18854,B. licheniformis,Glucose,Paczia-13
23,gly,Glycine,0.002764901793985923,0.024557387730095304,1.0966684076876396,2,75.0666,B. licheniformis,Glucose,Paczia-13
24,pro__L,Proline,0.0005552994250440598,0.0664583142098274,0.07436889259506921,5,114.12252,B. licheniformis,Glucose,Paczia-13
25,ala__L,Alanine,0.048921948060388645,0.039315052261135186,2.4308707333611013,3,89.09318,B. licheniformis,Glucose,Paczia-13
26,met__L,Methionine,3.0751357864823025e-05,0.1228095353285219,0.05251641377394354,5,149.21134,B. licheniformis,Glucose,Paczia-13
27,val__L,Valine,0.0004911718670588694,0.07459100431397858,0.14201238038087513,5,117.14634,B. licheniformis,Glucose,Paczia-13
28,phe__L,Phenylalanine,0.00013826590547265957,0.14538460148159627,0.08141203140885979,9,165.18914,B. licheniformis,Glucose,Paczia-13
29,leu__L,Leucine/Isoleucine,4.2212490134568004e-05,0.09211188351966881,0.1603049010875825,6,131.17292,B. licheniformis,Glucose,Paczia-13
30,ile__L,Leucine/Isoleucine,4.2212490134568004e-05,0.09490035090894411,0.12489364604959555,6,131.17292,B. licheniformis,Glucose,Paczia-13
31,trp__L,Tryptophane,1.1168246633786874e-07,0.18089982025595308,0.02514009855146395,11,204.22518000000002,B. licheniformis,Glucose,Paczia-13
32,his__L,Histidine,-0.00025191027949105914,0.1044162302033691,0.03780803345201887,6,155.15456,B. licheniformis,Glucose,Paczia-13
