,Metabolite abbrv.,BiGG ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
0,G6P,g6p,Glucose-6-phosphate,0.09781659332656623,0.09781659332654402,0.09781659332658288,2.548639175739214,6,258.119901,0.00016494411684646738,1.5025907373887814e-05,0.9525697107533213,C. glutamicum,Glucose,Paczia-13
1,F6P,f6p,Fructose-6-phosphate,0.09781659332650239,0.09781659332647186,0.09781659332651071,2.014730117402781,6,258.119901,7.33305528781731e-05,6.906234383720977e-06,0.9494704521386121,C. glutamicum,Glucose,Paczia-13
2,FBP,fdp,"Fructose-1,6-bisphosphate",0.10265899893673602,0.10265899893669994,0.10265899893674435,1.9806476446204233,6,336.083922,9.285406921497166e-05,1.926854476614199e-05,0.7946769084665845,C. glutamicum,Glucose,Paczia-13
3,DHAP,dhap,Dihydroxyacetonephosphate,0.051329499468352746,0.05132949946830001,0.051329499468372175,1.9806476446204233,3,168.041961,0.00039677517121734356,2.9265852200601355e-05,0.9683892651864638,C. glutamicum,Glucose,Paczia-13
4,GA3P,g3p,Glyceraldehyde-3-phosphate,0.051329499468352746,0.051329499468316664,0.051329499468352746,4.427900256632339,3,168.041961,2.1583649062322894e-05,7.42749985639697e-07,0.9929447582425321,C. glutamicum,Glucose,Paczia-13
5,23PG,2pg,2/3-phosphoglycerate,0.04164468824797429,0.04164468824795209,0.04164468824802148,3.8889915653042246,3,183.033421,0.0001631100453825168,6.643134272703598e-06,0.9950483483769935,C. glutamicum,Glucose,Paczia-13
6,23PG,3pg,2/3-phosphoglycerate,0.041644688247965966,0.041644688247904904,0.041644688247965966,4.15934615379527,3,183.033421,0.0001631100453825168,6.643134272703598e-06,0.9950483483769935,C. glutamicum,Glucose,Paczia-13
7,R5P,r5p,Ribose-5-phosphate,0.08232089537372478,0.08232089537369425,0.08232089537374421,0.5473239098928131,5,228.093921,2.8257345058852406e-05,2.030227017621498e-06,0.9699578769506044,C. glutamicum,Glucose,Paczia-13
8,RU5P+X5P,ru5p__D,Ribu-/Xylulose-5-phosphate,0.08232089537383858,0.08232089537383303,0.08232089537388299,0.984799231000142,5,228.093921,7.107593306994488e-06,9.234009193085839e-07,0.9518047129403431,C. glutamicum,Glucose,Paczia-13
9,RU5P+X5P,xu5p__D,Ribu-/Xylulose-5-phosphate,0.0823208953738358,0.0823208953738136,0.08232089537388854,0.4756708090908469,5,228.093921,7.107593306994488e-06,9.234009193085839e-07,0.9518047129403431,C. glutamicum,Glucose,Paczia-13
10,S7P,s7p,Sedoheptulose 7-phosphate,0.11331229127928,0.11331229127927167,0.11331229127929388,0.2683186711066894,7,288.14588100000003,1.9448055954424095e-05,1.2986333622024596e-06,0.973944104466547,C. glutamicum,Glucose,Paczia-13
11,E4P,e4p,Erythrose-4-phosphate,0.06682519742098325,0.06682519742096105,0.06682519742099713,0.2683186711066894,4,198.067941,0.00011659016454830359,1.0092090063636405e-05,0.9569779039652052,C. glutamicum,Glucose,Paczia-13
12,ASN,asn__L,Asparagine,0.05326646171241178,0.0532664617123868,0.05326646171243399,0.05051307238114971,4,132.11792,0.0005975682807567984,4.205687586413136e-05,0.9711376953955795,C. glutamicum,Glucose,Paczia-13
13,GLU,glu__L,Glutamate,0.07069912190920957,0.07069912190919014,0.07069912190925676,1.845734279685957,5,146.12132,0.010186555951108144,0.0010772669392274674,0.9470420482146719,C. glutamicum,Glucose,Paczia-13
14,THR,thr__L,Threonine,0.07166760303134734,0.0716676030313057,0.07166760303135566,0.12050044450365355,4,119.11916,6.374127297561413e-05,1.891751661635451e-05,0.6942469646573756,C. glutamicum,Glucose,Paczia-13
15,GLN,gln__L,Glutamine,0.07457304639739148,0.07457304639737483,0.07457304639741924,0.3025199228334875,5,146.1445,0.0006738470756402252,0.00012113253270395215,0.8609015215658551,C. glutamicum,Glucose,Paczia-13
16,HOM,hom__L,Homoserine,0.06779367854309604,0.06779367854306828,0.06779367854309604,0.14029897151883355,4,119.11916,0.00041895866330318287,8.749108613144822e-06,0.9978242483408426,C. glutamicum,Glucose,Paczia-13
17,GLY,gly,Glycine,0.09975355557058085,0.09975355557052534,0.09975355557062526,0.16766379965737183,2,75.0666,0.01639614707116995,0.0017478631512354628,0.936168298159942,C. glutamicum,Glucose,Paczia-13
18,PRO,pro__L,Proline,0.08910026322812847,0.08910026322809794,0.0891002632281479,0.04156034689255308,5,115.13046,0.0022971330341570533,0.00024404072705387013,0.9465828210335934,C. glutamicum,Glucose,Paczia-13
19,ALA,ala__L,Alanine,0.044550131614015664,0.04455013161399901,0.044550131614046196,0.2274667492367363,3,89.09318,0.0011801991264450246,8.519728911304908e-05,0.9746054902747942,C. glutamicum,Glucose,Paczia-13
20,LYS,lys__L,Lysine,0.11137532903510994,0.11137532903509606,0.11137532903514047,0.04874876049227373,6,147.1955,0.19526982801655063,0.004070692052658485,0.9973993223208298,C. glutamicum,Glucose,Paczia-13
