,BiGG ID,Metabolite,Rate [mmol/gDW/h],Metabolite value [gDW/mmol],Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Species,Carbon source,Dataset
0,g6p,Glucose-6-phosphate,0.0010438761283126908,0.05179800641118559,8.0,6,258.119901,E. coli,Glucose,Paczia-13
1,f6p,Fructose-6-phosphate,0.001720037214288813,0.05185014664018661,7.095461180764066,6,258.119901,E. coli,Glucose,Paczia-13
2,fdp,"Fructose-1,6-bisphosphate",0.000596339084436308,0.05865359174341833,0.0,6,336.083922,E. coli,Glucose,Paczia-13
3,dhap,Dihydroxyacetonephosphate,0.0017176988667935021,0.029999449962692104,7.0323716627961135,3,168.041961,E. coli,Glucose,Paczia-13
4,g3p,Glyceraldehyde-3-phosphate,0.00036506899822389257,0.030001622771014258,14.262969057947062,3,168.041961,E. coli,Glucose,Paczia-13
5,2pg,2/3-phosphoglycerate,0.00028522915976982494,0.023197919826822844,14.006454561519776,3,183.033421,E. coli,Glucose,Paczia-13
6,3pg,2/3-phosphoglycerate,0.00028522915976982494,0.023129673576394172,14.006454561519776,3,183.033421,E. coli,Glucose,Paczia-13
7,pep,Phosphoenolpyruvate,0.0001870830349953417,0.02388954092794604,14.006454561519774,3,165.01814099999999,E. coli,Glucose,Paczia-13
8,r5p,Ribose-5-phosphate,0.0002577601755898069,0.04371330449670641,0.8779617388541333,5,228.093921,E. coli,Glucose,Paczia-13
9,ru5p__D,Ribu-/Xylulose-5-phosphate,2.8993473086595948e-05,0.04343214279832752,1.1591603897376073,5,228.093921,E. coli,Glucose,Paczia-13
10,ru5p__L,Ribu-/Xylulose-5-phosphate,2.8993473086595948e-05,0.044828470099933515,0.0,5,228.093921,E. coli,Glucose,Paczia-13
11,xu5p__D,Ribu-/Xylulose-5-phosphate,2.8993473086595948e-05,0.04344948483897548,0.2546215705016736,5,228.093921,E. coli,Glucose,Paczia-13
12,xu5p__L,Ribu-/Xylulose-5-phosphate,2.8993473086595948e-05,,0.0,5,228.093921,E. coli,Glucose,Paczia-13
13,e4p,Erythrose-4-phosphate,6.557017551691731e-05,0.03554155995912911,0.2546215705171687,4,198.067941,E. coli,Glucose,Paczia-13
