,Metabolite abbrv.,BiGG ID,Metabolite,Metabolite value [gDW/mmol],Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
0,G6P,g6p,Glucose-6-phosphate,0.024945923381503032,8.621277952674019,6,258.119901,0.0009384776909827463,7.040244627160425e-05,0.9569183372100782,E. coli,Glucose,Paczia-13
1,F6P,f6p,Fructose-6-phosphate,0.025033996845880147,7.686748943624886,6,258.119901,0.0017466147269174857,0.00010908888150136287,0.9697370866359643,E. coli,Glucose,Paczia-13
2,FBP,fdp,"Fructose-1,6-bisphosphate",0.03224192974811135,0.0,6,336.083922,0.0024508769288152437,0.00033651553099166894,0.9636651503483857,E. coli,Glucose,Paczia-13
3,DHAP,dhap,Dihydroxyacetonephosphate,0.017257188803410095,7.621567678390431,3,168.041961,0.0019462463603129852,6.586015426171005e-05,0.9909222249513971,E. coli,Glucose,Paczia-13
4,GA3P,g3p,Glyceraldehyde-3-phosphate,0.01726085903558383,15.447933308283057,3,168.041961,0.0005390129769866172,1.72118313315537e-05,0.9919087165679993,E. coli,Glucose,Paczia-13
5,23PG,2pg,2/3-phosphoglycerate,0.011766174708482957,15.182914015526546,3,183.033421,0.0003494926533841396,1.6687742943817196e-05,0.9909627474149798,E. coli,Glucose,Paczia-13
6,23PG,3pg,2/3-phosphoglycerate,0.011650895513604098,15.182914015526546,3,183.033421,0.0003494926533841396,1.6687742943817196e-05,0.9909627474149798,E. coli,Glucose,Paczia-13
7,PEP,pep,Phosphoenolpyruvate,0.012934437052436465,15.182914015526544,3,165.01814099999999,0.00021606769490805432,1.7338606704126875e-05,0.96280056857255,E. coli,Glucose,Paczia-13
8,R5P,r5p,Ribose-5-phosphate,0.02157163036402565,0.9070707595212311,5,228.093921,0.0002984551018772206,1.9559095975555388e-05,0.9667831385233533,E. coli,Glucose,Paczia-13
9,RU5P+X5P,ru5p__D,Ribu-/Xylulose-5-phosphate,0.02109670178818135,1.1975926155074923,5,228.093921,7.010314638442496e-05,4.776934301941201e-06,0.9862615769803715,E. coli,Glucose,Paczia-13
10,RU5P+X5P,xu5p__D,Ribu-/Xylulose-5-phosphate,0.021125995360593564,0.26306360645836074,5,228.093921,7.010314638442496e-05,4.776934301941201e-06,0.9862615769803715,E. coli,Glucose,Paczia-13
11,E4P,e4p,Erythrose-4-phosphate,0.018050307970096657,0.26306360645836074,4,198.067941,4.826920242832533e-05,4.590248737058869e-06,0.9735863792469632,E. coli,Glucose,Paczia-13
12,CIT,cit,Citrate,0.0218747353429527,7.9660539564412645,6,189.09969999999998,0.0068355380468514415,0.0005009375182234684,0.9588052292128847,E. coli,Glucose,Paczia-13
13,ACN,acon_C,Cis-aconitate,0.022751700807555064,7.9660539564412645,6,171.08442,0.0006831808194392834,5.6393461267305514e-05,0.9483077473676137,E. coli,Glucose,Paczia-13
14,ICIT,icit,Isocitrate,0.023628666273123322,7.9660539564412645,6,189.09969999999998,0.001229807807446499,4.2499537098732474e-05,0.9905364440582729,E. coli,Glucose,Paczia-13
15,OAS,oaa,Oxaloacetate,0.014307105262845177,11.133263427103115,4,130.05568,0.00034482684708525264,5.611645161542768e-05,0.883065851849703,E. coli,Glucose,Paczia-13
16,SER,ser__L,L-serine,0.061604161560668835,0.41575890173021157,3,105.09258,1.3130006777160167e-05,2.7638342869541947e-06,0.7382941128809802,E. coli,Glucose,Paczia-13
17,ASP,asp__L,Aspartate,0.018316987681799013,3.167209470661849,4,132.09474,5.7370644281778916e-05,2.7905212649466083e-06,0.9814246012347269,E. coli,Glucose,Paczia-13
18,THR,thr__L,Threonine,0.04596196158024313,1.523009847646117,4,119.11916,0.00011697928609725871,7.418340065416461e-06,0.9688302568684246,E. coli,Glucose,Paczia-13
19,HOM,hom__L,Homoserine,0.036681161203389046,1.6291832634608259,4,119.11916,0.00012017037193161251,5.409932218881139e-06,0.9840451093754657,E. coli,Glucose,Paczia-13
20,TYR,tyr__L,Tyrosine,0.06593095154003858,0.09527951880575003,9,181.18854,1.2600447945182339e-05,8.742338236575299e-07,0.9629180506713648,E. coli,Glucose,Paczia-13
21,PRO,pro__L,Proline,0.036654316889994654,0.1524917935230133,5,115.13046,3.506108720570623e-05,5.401944724840931e-06,0.8753273319008835,E. coli,Glucose,Paczia-13
22,ALA,ala__L,Alanine,0.011867507916185627,0.694198272527015,3,89.09318,0.00010785765157508057,1.250585430009144e-05,0.9139872222121278,E. coli,Glucose,Paczia-13
23,MET,met__L,Methionine,0.2978609831052692,0.10663767573663328,5,149.21134,1.3374061108505567e-05,9.18886819582158e-07,0.9680127749060856,E. coli,Glucose,Paczia-13
24,VAL,val__L,Valine,0.08909176211697734,0.291912566242724,5,117.14634,6.586785286797082e-05,3.871222507589387e-06,0.9763913465856927,E. coli,Glucose,Paczia-13
25,PHE,phe__L,Phenylalanine,0.06597641372401153,0.12780254745217734,9,165.18913999999998,1.8682540912683973e-05,1.6190705184403033e-06,0.9433226058316743,E. coli,Glucose,Paczia-13
26,ILEU,ile__L,Isoleucine,0.09985615528785852,0.20041749012891602,6,131.17291999999998,7.10907099055252e-05,3.09396015686778e-06,0.9850733520822395,E. coli,Glucose,Paczia-13
27,LEU,leu__L,Leucine,0.22433191826551901,0.3107926996797933,6,131.17291999999998,6.869210804782705e-05,3.862222627470991e-06,0.9753336929548624,E. coli,Glucose,Paczia-13
28,TRP,trp__L,Tryptophane,0.21330641855802357,0.03921237257347106,11,204.22518,2.222142984163311e-05,1.506342848049735e-06,0.9819509868491306,E. coli,Glucose,Paczia-13
29,HIS,his__L,Histidine,0.17035051846557847,0.06535372434363952,6,155.15456,0.0010093162735949517,0.0002244600876974807,0.834845691850477,E. coli,Glucose,Paczia-13
30,ARG,arg__L,Arginine,0.1218010392549429,0.2040480992954656,6,175.2089,0.0020576151167197667,0.00021840187758105824,0.9466721520984737,E. coli,Glucose,Paczia-13
31,PYR,pyr,Pyruvate,0.00648047852965794,11.859933268921429,3,87.05412,0.6234893158099053,0.02819442943220054,0.987879409660049,E. coli,Glucose,Paczia-13
32,ORO,orot,Orotate,0.024886207559882134,0.22819444409058917,5,155.08832,0.12703320538794174,0.008670394560703943,0.9728091912775501,E. coli,Glucose,Paczia-13
33,FUM,fum,Fumarate,0.015882431694747012,7.944200627961854,4,114.05628,0.0005535652642159554,8.739075644399363e-05,0.9093468510685453,E. coli,Glucose,Paczia-13
34,URA,ura,Uracil,0.05250212140477384,0.0,4,112.08676,0.014209317046541674,0.0030044924586253648,0.736554537145514,E. coli,Glucose,Paczia-13
35,AKG,akg,alpha-ketoglutarate,0.020125592667896708,13.0859585944643,5,144.08226000000002,0.0035487840130435347,0.0009996990089492976,0.8630273272099478,E. coli,Glucose,Paczia-13
36,ACT,ac,Acetate,0.00039780483032103575,0.40188215196879956,2,59.04402,1.6702653783116823,0.2032960772208058,0.9183689329769711,E. coli,Glucose,Paczia-13
