,Metabolite abbrv.,BiGG ID,Metabolite,Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],R2
0,G6P,s_0568,Glucose-6-phosphate,0.09450732406025564,6,260.135781,1.1423528975244455e-05,4.842674375854312e-06,0.8476666308220115
1,F6P,s_0557,Fructose-6-phosphate,0.09450732406031115,6,258.119901,1.1928528680629004e-05,1.2137195564964747e-06,0.9602350459404602
2,FBP,s_0555,"Fructose-1,6-bisphosphate",0.09884411389393666,6,340.115682,0.00046726365422985436,0.00015803861373783534,0.686070981201619
3,DHAP,s_0629,Dihydroxyacetonephosphate,0.049422056947001636,3,168.041961,3.096248243093225e-05,2.993362524672916e-06,0.9639614950536026
4,CIT,s_0522,Citrate,0.07080821321464592,6,189.09969999999998,0.0006019877973077708,7.932788687528845e-05,0.9664355684292131
5,SUC,s_1458,Succinate,0.05057564304296047,4,116.07216,0.0025499031434721587,0.0003810315592573501,0.9372178297800414
6,ASN,s_0969,Asparagine,0.05867387525959611,4,132.11792,6.403278513890365e-05,1.3847262085808291e-05,0.842416758643496
7,SER,s_1039,L-serine,0.04161872643957398,3,105.09258,6.119895008188119e-05,2.192569809650602e-05,0.6607519492629841
8,ASP,s_0973,Aspartate,0.04710910236878085,4,132.09474,1.1412906472226069e-05,3.5963026203382897e-06,0.7157308782550027
9,GLN,s_0999,Glutamine,0.07514500304870442,5,146.1445,0.00019845191365602626,8.004332143754209e-05,0.754509654177731
10,TYR,s_1051,Tyrosine,0.15317830812651145,9,181.18854,5.827427440263339e-06,2.691619965620906e-06,0.5395597568781975
11,PRO,s_1035,Proline,0.08959518677504885,5,115.13046,0.0009296011786834642,6.575418183889116e-05,0.9852121700485584
12,VAL,s_1056,Valine,0.08641198303742659,5,117.14634,4.673562886390437e-05,1.585594720735042e-05,0.7433229685069561
13,PHE,s_1032,Phenylalanine,0.1606925193118891,9,165.18913999999998,1.9959724864135424e-05,8.820682821494329e-06,0.6305605002673339
14,LYS,s_1025,Lysine,0.1208113999993432,6,147.1955,0.00014516803615345465,8.232410483206023e-05,0.6085708457300341
15,PYR,s_1399,Pyruvate,0.035258101349588955,3,87.05412,0.05936685834481329,0.008504184473073337,0.9241461125237139
16,ORO,s_1269,Orotate,0.054629095941460815,5,155.08832,0.001043289706469975,0.00026351117026268846,0.7966978949438861
17,FUM,s_0725,Fumarate,0.045085267113176286,4,114.05628,0.00019891061991724458,2.4534818203401193e-05,0.9563496524528486
18,AKG,s_0180,alpha-ketoglutarate,0.06329400202886859,5,144.08226000000002,0.0019668952775509963,0.0007547354060725605,0.6293418377197072
19,ACT,s_0362,Acetate,0.027743890164066976,2,59.04402,0.3036202355689394,0.03371037618227676,0.9530081669900622
20,ETH,s_0680,Ethanol,0.040748477279251016,2,46.06844,8.00292975321067,0.34052810237225406,0.9928099153399155
