,Metabolite abbrv.,BiGG ID,Metabolite,Metabolite value [gDW/mmol],Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
0,G6P,s_0568,Glucose-6-phosphate,0.09450732406001139,7.4,6,260.135781,1.143578017689269e-05,4.82106510941942e-06,0.8490929199372618,S. cerevisiae,Glucose,Paczia-13
1,F6P,s_0557,Fructose-6-phosphate,0.094507324060078,6.692191892050501,6,258.119901,1.1929324605145655e-05,1.2163099595320488e-06,0.9600770263303536,S. cerevisiae,Glucose,Paczia-13
2,FBP,s_0555,"Fructose-1,6-bisphosphate",0.09884411389398107,0.0,6,340.115682,0.0004678071725476762,0.00015771132024177615,0.6874630676027677,S. cerevisiae,Glucose,Paczia-13
3,DHAP,s_0629,Dihydroxyacetonephosphate,0.049422056946946125,6.463742634040254,3,168.041961,3.097035506519987e-05,2.9853698922660923e-06,0.9641643736447125,S. cerevisiae,Glucose,Paczia-13
4,CIT,s_0522,Citrate,0.07080821321440722,0.11810421603974991,6,189.09969999999998,0.0006031387051584741,7.876681520146055e-05,0.967015081437934,S. cerevisiae,Glucose,Paczia-13
5,SUC,s_1458,Succinate,0.050575643042855,0.06282911336787089,4,116.07216,0.0025475640830378036,0.00037870591057880497,0.9378275242774158,S. cerevisiae,Glucose,Paczia-13
6,ASN,s_0969,Asparagine,0.05867387525946288,0.04461626986340422,4,132.11792,6.405684362143483e-05,1.3832532021573358e-05,0.8427986959087795,S. cerevisiae,Glucose,Paczia-13
7,SER,s_1039,L-serine,0.04161872643926312,0.2850874544310933,3,105.09258,6.125361544701631e-05,2.1897149059114455e-05,0.6617356561126012,S. cerevisiae,Glucose,Paczia-13
8,ASP,s_0973,Aspartate,0.04710910236891408,0.5580524215799203,4,132.09474,1.1428729154239037e-05,3.585610081430498e-06,0.7175029478595895,S. cerevisiae,Glucose,Paczia-13
9,GLN,s_0999,Glutamine,0.07514500304848237,0.33357336823396844,5,146.1445,0.00019865736522571646,7.952270287085626e-05,0.7572995347729599,S. cerevisiae,Glucose,Paczia-13
10,TYR,s_1051,Tyrosine,0.15317830812664468,0.04474768123795366,9,181.18854,5.832672307895024e-06,2.6896503584053938e-06,0.5403703694249906,S. cerevisiae,Glucose,Paczia-13
11,PRO,s_1035,Proline,0.08959518677482681,0.07225447122887026,5,115.13046,0.0009285982404022364,6.495342409512063e-05,0.9855342365680277,S. cerevisiae,Glucose,Paczia-13
12,VAL,s_1056,Valine,0.0864119830367216,0.11608086737573134,5,117.14634,4.676745934520579e-05,1.5747609571098198e-05,0.7461883982049824,S. cerevisiae,Glucose,Paczia-13
13,PHE,s_1032,Phenylalanine,0.1606925193119002,0.25788674110510595,9,165.18913999999998,1.9977889637971894e-05,8.7772299070837e-06,0.6332809836993791,S. cerevisiae,Glucose,Paczia-13
14,LYS,s_1025,Lysine,0.12081139999928214,0.12555689240306772,6,147.1955,0.00014549809301765118,8.186110862497381e-05,0.6123332904044395,S. cerevisiae,Glucose,Paczia-13
15,PYR,s_1399,Pyruvate,0.03525810134927809,12.357091765125185,3,87.05412,0.05936597547179497,0.008522414220283514,0.9238432597413291,S. cerevisiae,Glucose,Paczia-13
16,ORO,s_1269,Orotate,0.05462909594080023,0.03769057419406836,5,155.08832,0.0010432660515724554,0.00026372766447888967,0.7964243807675424,S. cerevisiae,Glucose,Paczia-13
17,FUM,s_0725,Fumarate,0.04508526711310412,0.1922403997693158,4,114.05628,0.0001989528789084514,2.475554979409013e-05,0.9556137611344612,S. cerevisiae,Glucose,Paczia-13
18,AKG,s_0180,alpha-ketoglutarate,0.06329400202897406,2.2710994106278632,5,144.08226000000002,0.0019665950177942602,0.000755234312295772,0.6289622337038369,S. cerevisiae,Glucose,Paczia-13
19,ACT,s_0362,Acetate,0.02774389016398926,3.4761248961524682,2,59.04402,0.30364626694037805,0.0337586360111807,0.9528875661219438,S. cerevisiae,Glucose,Paczia-13
20,ETH,s_0680,Ethanol,0.04074847727936204,0.8732165114296411,2,46.06844,8.004685346379478,0.3372547771954713,0.992949581791119,S. cerevisiae,Glucose,Paczia-13
