,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],BiGG ID,MV min,MV max,Species,Dataset,Metabolite abbrv.,R2,Mass,Metabolite id,Charge,Phosphate,Intracellular concentration [M],Compound class,Ref,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id,log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Rate [mmol C/gDW/h],Rate [g/gDW/h],Metabolite value [gDW/mmol C],Metabolite value [gDW/g],log10(Rate [mmol C/gDW/h]),log10(Rate [g/gDW/h]),log10(Metabolite value [gDW/mmol C]),log10(Metabolite value [gDW/g]),log10(Turnover [mmol/gDW/h]),Species - Carbon source
0,M1,Phenylalanine,Galactose,1.2315561015131713e-05,3.414898263835093e-06,0.1769229124838178,9.0,165.18913999999998,0.0668819309737397,phe__L,0.1502653789882235,0.1769229124840343,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.909545799803243,-0.7522159199397866,0.00011084004913618541,2.0343969327071347e-06,0.019658101387090867,1.0710323480333988,-3.9553032903639176,-5.691564307624605,-1.7064584293791116,0.02980258788157663,-1.1746911967063933,E. coli - Galactose
1,M2,Phenylalanine,Galactose,1.019937352646367e-05,inf,0.1769229124838178,9.0,165.18913999999998,0.0668819309737397,phe__L,0.1502653789882235,0.1769229124840343,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.991426502978816,-0.7522159199397866,9.179436173817302e-05,1.6848257413753006e-06,0.019658101387090867,1.0710323480333988,-4.037183993539491,-5.773445010800179,-1.7064584293791116,0.02980258788157663,-1.1746911967063933,E. coli - Galactose
2,M3,Phenylalanine,Galactose,1.876260948454432e-05,1.195798026985265e-05,0.1769229124838178,9.0,165.18913999999998,0.0668819309737397,phe__L,0.1502653789882235,0.1769229124840343,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.726706760523771,-0.7522159199397866,0.00016886348536089888,3.099379324907719e-06,0.019658101387090867,1.0710323480333988,-3.7724642510844464,-5.508725268345135,-1.7064584293791116,0.02980258788157663,-1.1746911967063933,E. coli - Galactose
3,M6,Phenylalanine,L-malate,,,0.0913080351116035,9.0,165.18913999999998,0.1019016605049581,phe__L,0.0913080351114481,0.1176158494799795,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,,-1.0394910028481361,,,0.01014533723462261,0.5527484137976838,,,-1.9937335122874609,-0.2574724950267727,-0.991818739033173,E. coli - L-malate
4,M7,Phenylalanine,L-malate,,,0.0913080351116035,9.0,165.18913999999998,0.1019016605049581,phe__L,0.0913080351114481,0.1176158494799795,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,,-1.0394910028481361,,,0.01014533723462261,0.5527484137976838,,,-1.9937335122874609,-0.2574724950267727,-0.991818739033173,E. coli - L-malate
5,M9,Phenylalanine,L-alanine,5.8196472337569e-06,7.079157123852594e-07,0.1358341521728479,9.0,165.18913999999998,0.0556188076002175,phe__L,0.1358341521728312,0.1358341521728479,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-5.235103339933623,-0.8669910236087405,5.23768251038121e-05,9.613425216476812e-07,0.015092683574760877,0.8222946870045326,-4.280860830494299,-6.017121847754987,-1.8212335330480653,-0.08497251578737712,-1.2547783261190508,E. coli - L-alanine
6,M10,Phenylalanine,L-alanine,1.7479501306523924e-05,8.661792764398677e-06,0.1358341521728479,9.0,165.18913999999998,0.0556188076002175,phe__L,0.1358341521728312,0.1358341521728479,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.757470962028522,-0.8669910236087405,0.00015731551175871531,2.887423788453563e-06,0.015092683574760877,0.8222946870045326,-3.803228452589197,-5.539489469849886,-1.8212335330480653,-0.08497251578737712,-1.2547783261190508,E. coli - L-alanine
7,M11,Phenylalanine,L-alanine,4.97250505859416e-05,3.894886888651497e-06,0.1358341521728479,9.0,165.18913999999998,0.0556188076002175,phe__L,0.1358341521728312,0.1358341521728479,E. coli,SINTEF-23,,,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.3034247663898695,-0.8669910236087405,0.0004475254552734744,8.214038342748188e-06,0.015092683574760877,0.8222946870045326,-3.3491822569505443,-5.085443274211232,-1.8212335330480653,-0.08497251578737712,-1.2547783261190508,E. coli - L-alanine
8,,Phenylalanine,Glucose,1.8682540912683973e-05,1.6190705184403033e-06,0.1024658000199463,9.0,165.18913999999998,0.120573661584987,phe__L,0.057663088951998,0.1469515299302393,E. coli,Paczia-13,PHE,0.9433226058316744,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-4.728564058014203,-0.9894210647649156,0.00016814286821415577,3.0861528663810802e-06,0.011385088891105144,0.6202938039386022,-3.774321548574878,-5.510582565835566,-1.9436635742042405,-0.20740255694355236,-0.9187475502186924,E. coli - Glucose
9,,Phenylalanine,Glucose,0.0001642134596648,7.648502442319452e-06,0.1453846014815962,9.0,165.18914,0.0814120314088597,phe__L,0.14533495069462,0.1453846014815962,B. licheniformis,Paczia-13,PHE,0.9850415054439052,165.18914,phe__L,0.0,0.0,1.82e-05,Amino acid,"Bennet et al, glucose",,2.0,3.0,3.0,63.3,0.0,-1.5,6140.0,-3.7845912490522386,-0.8374815896648425,0.0014779211369832,2.7126280178453003e-05,0.016153844609066246,0.8801099241850656,-2.830348739612914,-4.566609756873602,-1.7917240991041674,-0.05546308184347938,-1.0893114085216187,B. licheniformis - Glucose
