,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
0,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,PHENYLALANINE,0.0026847545742257,6.0,1,M1
1,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,PHENYLALANINE,,6.0,1,M2
2,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,PHENYLALANINE,,8.0,1,M3
3,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,PHENYLALANINE,0.0144454119813541,12.0,2,M1
4,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,PHENYLALANINE,0.026070905651770598,12.0,2,M2
5,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,PHENYLALANINE,0.013852505070698021,14.0,2,M3
6,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,PHENYLALANINE,0.051747583066795,14.0,3,M1
7,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,PHENYLALANINE,0.01498747406232096,14.0,3,M2
8,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,PHENYLALANINE,0.0751161215376968,16.0,3,M3
9,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,PHENYLALANINE,0.322876039619504,18.0,4,M1
10,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,PHENYLALANINE,3.5002637659161997,18.0,4,M2
11,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,PHENYLALANINE,2.7573119838478197,20.0,4,M3
12,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,PHENYLALANINE,,6.0,1,M5
13,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,PHENYLALANINE,,6.0,1,M6
14,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,PHENYLALANINE,0.00363835120318658,6.0,1,M7
15,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,PHENYLALANINE,,9.25,2,M5
16,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,PHENYLALANINE,0.016194156349102783,10.0,2,M6
17,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,PHENYLALANINE,0.0062367391033136595,9.25,2,M7
18,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,PHENYLALANINE,,10.0,3,M5
19,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,PHENYLALANINE,0.0223385615611866,11.0,3,M6
20,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,PHENYLALANINE,,10.0,3,M7
21,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,PHENYLALANINE,0.20006541402001599,12.0,4,M5
22,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,PHENYLALANINE,0.55207350906055,13.0,4,M6
23,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,PHENYLALANINE,0.047041358833813,12.0,4,M7
24,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,PHENYLALANINE,0.00323074615504934,10.0,1,M9
25,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,PHENYLALANINE,0.01791128419044654,10.0,1,M10
26,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,PHENYLALANINE,0.01119236194489256,10.0,1,M11
27,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,PHENYLALANINE,0.00946463488966488,16.0,2,M9
28,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,PHENYLALANINE,0.010383899790558499,16.0,2,M10
