,REL,Hours,Integrated biomass
0,REL01,2.0,0.0469
1,REL01,4.0,0.13393333333333332
2,REL01,6.0,0.29843333333333333
3,REL01,8.0,0.5982666666666666
4,REL01,9.25,0.5982666666666666
5,REL01,10.0,1.18335
6,REL01,11.0,1.6482666666666663
7,REL01,12.0,2.1467249999999996
8,REL01,13.0,2.8090999999999995
9,REL01,14.0,3.6893499999999992
10,REL01,16.0,5.847799999999999
11,REL01,18.0,7.866599999999999
12,REL01,20.0,10.037533333333332
13,REL01,22.0,12.478783333333332
14,REL01,26.0,16.348033333333333
15,REL01,28.0,16.348033333333333
16,REL02,2.0,0.0469
17,REL02,4.0,0.13393333333333332
18,REL02,6.0,0.30134999999999995
19,REL02,8.0,0.6075999999999999
20,REL02,9.25,0.6075999999999999
21,REL02,10.0,1.1629333333333332
22,REL02,11.0,1.5788499999999999
23,REL02,12.0,2.078183333333333
24,REL02,13.0,2.707016666666666
25,REL02,14.0,3.512016666666666
26,REL02,16.0,5.749129166666666
27,REL02,18.0,8.3019125
28,REL02,20.0,10.639562499999998
29,REL02,22.0,13.228979166666665
30,REL02,26.0,18.2310625
31,REL02,28.0,18.2310625
32,REL03,2.0,0.02975
33,REL03,4.0,0.09683333333333333
34,REL03,6.0,0.2070833333333333
35,REL03,8.0,0.4164999999999999
36,REL03,9.25,0.4164999999999999
37,REL03,10.0,0.8044166666666666
38,REL03,11.0,1.0465
39,REL03,12.0,1.3512916666666666
40,REL03,13.0,1.7177999999999998
41,REL03,14.0,2.1743166666666665
42,REL03,16.0,3.3914999999999997
43,REL03,18.0,5.162383333333333
44,REL03,20.0,7.449633333333332
45,REL03,22.0,10.056549999999998
46,REL03,26.0,15.062133333333332
47,REL03,28.0,15.062133333333332
48,REL04,2.0,0.03808
49,REL04,4.0,0.10752
50,REL04,6.0,0.2507866666666667
51,REL04,8.0,0.5704533333333333
52,REL04,9.25,0.9934765705128206
53,REL04,10.0,1.3894222222222223
54,REL04,11.0,2.087066666666667
55,REL04,12.0,2.8603555555555555
56,REL04,13.0,3.555922222222222
57,REL04,14.0,4.229555555555556
58,REL04,16.0,5.647008888888889
59,REL04,18.0,7.001928888888889
60,REL04,20.0,8.350922222222223
61,REL04,22.0,9.889662222222222
62,REL04,26.0,12.553395555555555
63,REL04,28.0,12.553395555555555
64,REL05,2.0,0.031080000000000003
65,REL05,4.0,0.08045333333333335
66,REL05,6.0,0.17892000000000002
67,REL05,8.0,0.3996533333333333
68,REL05,9.25,0.6822446794871795
69,REL05,10.0,0.95816
70,REL05,11.0,1.4700933333333333
71,REL05,12.0,2.1220266666666667
72,REL05,13.0,2.7913433333333337
73,REL05,14.0,3.4798400000000003
74,REL05,16.0,4.901648888888889
75,REL05,18.0,6.163733333333333
76,REL05,20.0,7.454673333333333
77,REL05,22.0,8.889066666666666
78,REL05,26.0,11.58391111111111
79,REL05,28.0,11.58391111111111
80,REL06,2.0,0.030520000000000005
81,REL06,4.0,0.09128
82,REL06,6.0,0.20514666666666667
83,REL06,8.0,0.4347466666666667
84,REL06,9.25,0.7365431410256411
85,REL06,10.0,1.0450222222222223
86,REL06,11.0,1.6435333333333335
87,REL06,12.0,2.368488888888889
88,REL06,13.0,3.1127055555555554
89,REL06,14.0,3.833448888888889
90,REL06,16.0,5.468151111111111
91,REL06,18.0,6.775315555555556
92,REL06,20.0,8.060515555555556
93,REL06,22.0,9.496915555555557
94,REL06,26.0,12.338604444444446
95,REL06,28.0,12.338604444444446
96,REL07,2.0,0.0252
97,REL07,4.0,0.0628
98,REL07,6.0,0.11979999999999999
99,REL07,8.0,0.1988
100,REL07,9.25,0.1988
101,REL07,10.0,0.3173
102,REL07,11.0,0.3968
103,REL07,12.0,0.49129999999999996
104,REL07,13.0,0.49129999999999996
105,REL07,14.0,0.7669250000000001
106,REL07,16.0,1.222425
107,REL07,18.0,1.923925
108,REL07,20.0,3.109425
109,REL07,22.0,4.585925
110,REL07,26.0,7.187925
111,REL07,28.0,8.388425
112,REL08,2.0,0.025799999999999997
113,REL08,4.0,0.06319999999999999
114,REL08,6.0,0.12269999999999999
115,REL08,8.0,0.20719999999999994
116,REL08,9.25,0.20719999999999994
117,REL08,10.0,0.32269999999999993
118,REL08,11.0,0.39844999999999997
119,REL08,12.0,0.49195
120,REL08,13.0,0.49195
121,REL08,14.0,0.7240249999999999
122,REL08,16.0,1.092825
123,REL08,18.0,1.719425
124,REL08,20.0,2.813425
125,REL08,22.0,4.4674249999999995
126,REL08,26.0,7.358091666666667
127,REL08,28.0,8.643425
128,REL09,2.0,0.0207
129,REL09,4.0,0.0578
130,REL09,6.0,0.11080000000000001
131,REL09,8.0,0.1898
132,REL09,9.25,0.1898
133,REL09,10.0,0.2993
134,REL09,11.0,0.37205
135,REL09,12.0,0.46455
136,REL09,13.0,0.46455
137,REL09,14.0,0.714275
138,REL09,16.0,1.106175
139,REL09,18.0,1.671675
140,REL09,20.0,2.6484750000000004
141,REL09,22.0,3.9736749999999996
142,REL09,26.0,6.650341666666666
143,REL09,28.0,7.731174999999999
