,Hours,REL01,REL02,REL03,REL04,REL05,REL06,REL07,REL08,REL09
1,0,0.015399999999999999,0.015399999999999999,0.0052499999999999995,0.01288,0.011480000000000002,0.00812,0.0102,0.010799999999999999,0.005699999999999999
2,2.0000000000582077,0.0315,0.0315,0.0245,0.0252,0.019600000000000003,0.022400000000000003,0.015,0.015,0.015
3,3.9999999999417923,0.0595,0.0595,0.041999999999999996,0.04760000000000001,0.030800000000000004,0.039200000000000006,0.024,0.024,0.021
4,6,0.1085,0.11199999999999999,0.06999999999999999,0.1008,0.0728,0.07840000000000001,0.033,0.036,0.033
5,8.000000000058208,0.20299999999999999,0.20299999999999999,0.1575,0.2436,0.15680000000000002,0.16240000000000002,0.048,0.048,0.045
6,9.249999999941792,,,,0.44800000000000006,0.30800000000000005,0.336,,,
7,9.999999999941792,0.39899999999999997,0.364,0.22749999999999998,0.6132000000000001,0.42560000000000003,0.5096,0.072,0.069,0.066
8,11.000000000058208,0.44099999999999995,0.44449999999999995,0.27999999999999997,0.77,0.602,0.6748000000000001,0.087,0.087,0.087
9,12,0.5704999999999999,0.5599999999999999,0.32899999999999996,0.7196,0.6580000000000001,0.7616000000000002,0.10200000000000001,0.099,0.096
10,13,0.7595,0.7,0.41789999999999994,0.672,0.6739600000000001,0.70252,,,
11,14.000000000058208,1.0115,0.9239999999999999,0.49279999999999996,0.7000000000000001,0.7196,0.8232,0.1875,0.1371,0.1683
12,16,1.0171,1.28415,0.7532,0.7064400000000001,0.67116,0.7392000000000001,0.267,0.243,0.22019999999999998
13,18,0.9974999999999999,1.1935,1.0185,0.6328,0.6216000000000002,0.6328,0.48,0.384,0.387
14,20,1.2774999999999999,1.2774999999999999,1.26,0.7476,0.6888000000000001,0.6776000000000001,0.708,0.747,0.597
15,22,1.085,1.302,1.3159999999999998,0.7084,0.7112,0.7392000000000001,0.6809999999999999,0.75,0.6779999999999999
16,26,0.952,1.1549999999999998,1.127,0.6216000000000002,0.602,0.6300000000000001,0.618,0.6779999999999999,0.6089999999999999
17,28,,,,,,,0.693,0.738,0.723
