,Sample_ID,USER CODE,Carbon source,Timepoint-tag,Metabolite,Concentration,Hours,Timepoint,M
0,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,PHENYLALANINE,0.0026847545742257,6,1,M1
1,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,PHENYLALANINE,,6,1,M2
2,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,PHENYLALANINE,,8,1,M3
3,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,PHENYLALANINE,0.0144454119813541,12,2,M1
4,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,PHENYLALANINE,0.026070905651770598,12,2,M2
5,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,PHENYLALANINE,0.013852505070698021,14,2,M3
6,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,PHENYLALANINE,0.051747583066795,14,3,M1
7,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,PHENYLALANINE,0.01498747406232096,14,3,M2
8,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,PHENYLALANINE,0.0751161215376968,16,3,M3
9,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,PHENYLALANINE,0.322876039619504,18,4,M1
10,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,PHENYLALANINE,3.5002637659161997,18,4,M2
11,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,PHENYLALANINE,2.7573119838478197,20,4,M3
12,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,PHENYLALANINE,,6,1,M5
13,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,PHENYLALANINE,,6,1,M6
14,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,PHENYLALANINE,0.00363835120318658,6,1,M7
15,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,PHENYLALANINE,,9,2,M5
16,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,PHENYLALANINE,0.016194156349102783,10,2,M6
17,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,PHENYLALANINE,0.0062367391033136595,9,2,M7
18,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,PHENYLALANINE,,10,3,M5
19,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,PHENYLALANINE,0.0223385615611866,11,3,M6
20,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,PHENYLALANINE,,10,3,M7
21,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,PHENYLALANINE,0.20006541402001599,12,4,M5
22,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,PHENYLALANINE,0.55207350906055,13,4,M6
23,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,PHENYLALANINE,0.047041358833813,12,4,M7
24,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,PHENYLALANINE,0.00323074615504934,10,1,M9
25,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,PHENYLALANINE,0.01791128419044654,10,1,M10
26,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,PHENYLALANINE,0.01119236194489256,10,1,M11
27,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,PHENYLALANINE,0.00946463488966488,16,2,M9
28,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,PHENYLALANINE,0.010383899790558499,16,2,M10
29,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,PHENYLALANINE,0.054474773148161605,16,2,M11
30,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,PHENYLALANINE,0.01162276675300426,18,3,M9
31,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,PHENYLALANINE,0.0394928809402286,18,3,M10
32,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,PHENYLALANINE,0.033826542336137,18,3,M11
33,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,PHENYLALANINE,4.28627051395,22,4,M9
34,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,PHENYLALANINE,3.26087796210082,22,4,M10
35,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,PHENYLALANINE,5.02643231801264,22,4,M11
36,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,PHENYLALANINE,,0,0,Alanine_001
37,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,PHENYLALANINE,0.0001529426844881312,0,0,Alanine_002
38,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,PHENYLALANINE,0.001070169818638128,0,0,Alanine_003
39,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,PHENYLALANINE,0.00543034218012056,0,0,Galactose_001
40,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,PHENYLALANINE,0.00793473395823006,0,0,Galactose_002
41,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,PHENYLALANINE,0.001259136597547106,0,0,Galactose_003
42,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,PHENYLALANINE,0.051862104311373,0,0,malate_001
43,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,PHENYLALANINE,0.049357622056231995,0,0,malate_002
44,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,PHENYLALANINE,0.040060875583606,0,0,malate_003
45,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,LEUCINE,,6,1,M1
46,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,LEUCINE,,6,1,M2
47,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,LEUCINE,0.057053330589366,8,1,M3
48,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,LEUCINE,0.110952076634703,12,2,M1
49,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,LEUCINE,0.24922505181371601,12,2,M2
50,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,LEUCINE,0.259390088899998,14,2,M3
51,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,LEUCINE,0.573243645862326,14,3,M1
52,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,LEUCINE,0.22948913960954398,14,3,M2
53,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,LEUCINE,0.1106216994006316,16,3,M3
54,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,LEUCINE,3.4938690965820003,18,4,M1
55,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,LEUCINE,6.83407136248258,18,4,M2
56,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,LEUCINE,5.90951947532386,20,4,M3
57,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,LEUCINE,,6,1,M5
58,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,LEUCINE,,6,1,M6
59,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,LEUCINE,,6,1,M7
60,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,LEUCINE,,9,2,M5
61,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,LEUCINE,0.0691928768132704,10,2,M6
62,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,LEUCINE,0.055951443022438596,9,2,M7
63,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,LEUCINE,,10,3,M5
64,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,LEUCINE,,11,3,M6
65,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,LEUCINE,0.0725134830821984,10,3,M7
66,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,LEUCINE,2.0973282252146,12,4,M5
67,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,LEUCINE,2.70908189629306,13,4,M6
68,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,LEUCINE,0.646263756715032,12,4,M7
69,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,LEUCINE,0.933855970093586,10,1,M9
70,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,LEUCINE,1.063380118328004,10,1,M10
71,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,LEUCINE,0.9977639709222821,10,1,M11
72,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,LEUCINE,0.986866996038412,16,2,M9
73,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,LEUCINE,0.885169985459178,16,2,M10
74,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,LEUCINE,1.270453261691038,16,2,M11
