,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Rate var,Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],BiGG ID,Species,Dataset
0,M1,PHENYLALANINE,Galactose,1.420409698143633e-05,2.588806748131234e-11,0.11866387162969283,9.0,165.18913999999998,0.044543092385986346,phe__L,E. coli,SINTEF-23
1,M1,LEUCINE,Galactose,0.0001488499191403311,4.768344635604913e-09,0.15782023224080177,6.0,131.17291999999998,0.10832075111732282,leu__L,E. coli,SINTEF-23
2,M1,ISOLEUCINE,Galactose,-1.0952734804795747e-05,1.2139771763884981e-11,0.11225894287488214,6.0,131.17291999999998,0.06985161842662255,ile__L,E. coli,SINTEF-23
3,M1,METHIONINE,Galactose,3.0726607432818306e-06,inf,0.22128314764942314,5.0,149.21134,0.03716648796802052,met__L,E. coli,SINTEF-23
4,M1,GAMMA-AMINOBUTYRATE,Galactose,0.001950981498367631,inf,0.05245112203700608,4.0,103.11976,0.0,4abut,E. coli,SINTEF-23
5,M1,PROLINE,Galactose,-6.670306930713443e-06,inf,0.0651093653681184,5.0,115.13046,0.0531480489427804,pro__L,E. coli,SINTEF-23
6,M1,VALINE,Galactose,1.0038756682992082e-05,inf,0.08721324784586315,5.0,117.14634,0.10174044779229079,val__L,E. coli,SINTEF-23
7,M1,PIPECOLIC ACID,Galactose,1.1750295234262228e-05,inf,,,,,,E. coli,SINTEF-23
8,M1,BETA-ALANINE,Galactose,4.279138074574256e-05,1.4055263105790494e-10,0.03551761963033473,3.0,89.09318,0.00013848714659706052,ala_B,E. coli,SINTEF-23
9,M1,ALANINE,Galactose,-0.0005046700957883909,inf,0.029024944803721087,3.0,89.09318,0.24320074031798772,ala__L,E. coli,SINTEF-23
10,M1,CREATINE,Galactose,1.531320224041289e-06,2.12799893470416e-13,,,,,,E. coli,SINTEF-23
11,M1,ALPHA-AMINOADIPATE,Galactose,1.9951408447375114e-05,8.528797034855124e-11,,,,,,E. coli,SINTEF-23
12,M1,GLUTAMATE,Galactose,0.0024945444102328638,1.1039797771158508e-07,0.04897214592872734,5.0,146.12132,2.415003778211794,glu__L,E. coli,SINTEF-23
13,M1,ASPARAGINE,Galactose,9.009670836039642e-05,1.4214886097737814e-08,0.05421107335690789,4.0,132.11792,0.057956630421849446,asn__L,E. coli,SINTEF-23
14,M1,ASPARTATE,Galactose,0.00010132233738135021,2.1515119671114485e-10,0.03507890999502883,4.0,132.09474,0.958964585062444,asp__L,E. coli,SINTEF-23
15,M1,PYRUVATE,Galactose,0.0019269852811640016,inf,0.022348229549443155,3.0,87.05412,3.287571503616391,pyr,E. coli,SINTEF-23
16,M1,LACTATE,Galactose,0.00012246817981480493,inf,0.037397193367424975,3.0,89.07,0.0,lac__L,E. coli,SINTEF-23
17,M1,HEXOSES including Glucose and Fructose,Galactose,-4.65059461695993,21.255093920741164,0.06234773273726957,6.0,180.15588,0.0,fru,E. coli,SINTEF-23
18,M1,NAD,Galactose,2.2916067515776287e-05,2.958799559859719e-11,0.35677048713345094,21.0,662.4171620000001,10.809530100297726,nad,E. coli,SINTEF-23
19,M1,SUCCINATE,Galactose,0.00638158985088221,3.668952946857231e-06,0.03551995276357134,4.0,116.07216,1.6613436287528256,succ,E. coli,SINTEF-23
20,M1,MALATE,Galactose,0.005497935875108186,inf,0.03300439193861526,4.0,132.07156,1.9120736459507608,mal__L,E. coli,SINTEF-23
21,M1,CIS-ACONITATE,Galactose,9.715583887714668e-05,6.430724554772042e-12,,,,,,E. coli,SINTEF-23
22,M1,CITRATE,Galactose,0.00035917588017814786,1.5136270251347572e-07,0.048684573136464904,6.0,189.09969999999998,1.919690198584511,cit,E. coli,SINTEF-23
23,M1,ISOCITRATE,Galactose,7.293143241835718e-05,1.0127707311968559e-10,0.049483925686172325,6.0,189.09969999999998,1.919690198584511,icit,E. coli,SINTEF-23
24,M1,TRANS-ACONITATE,Galactose,6.398431023983556e-06,6.722132307931894e-13,0.04908424941123257,6.0,171.08442,0.0,acon_T,E. coli,SINTEF-23
25,M2,PHENYLALANINE,Galactose,1.0199373526461836e-05,inf,0.11866387162969283,9.0,165.18913999999998,0.044543092385986346,phe__L,E. coli,SINTEF-23
26,M2,LEUCINE,Galactose,0.00011992447818062472,inf,0.15782023224080177,6.0,131.17291999999998,0.10832075111732282,leu__L,E. coli,SINTEF-23
27,M2,ISOLEUCINE,Galactose,2.265801638052811e-06,inf,0.11225894287488214,6.0,131.17291999999998,0.06985161842662255,ile__L,E. coli,SINTEF-23
28,M2,METHIONINE,Galactose,-1.2220031487296197e-06,inf,0.22128314764942314,5.0,149.21134,0.03716648796802052,met__L,E. coli,SINTEF-23
29,M2,GAMMA-AMINOBUTYRATE,Galactose,2.0334215056015316e-05,3.922974241832901e-09,0.05245112203700608,4.0,103.11976,0.0,4abut,E. coli,SINTEF-23
30,M2,PROLINE,Galactose,-4.114485350031394e-06,inf,0.0651093653681184,5.0,115.13046,0.0531480489427804,pro__L,E. coli,SINTEF-23
31,M2,PIPECOLIC ACID,Galactose,5.884992473095225e-06,1.4445510046968185e-12,,,,,,E. coli,SINTEF-23
32,M2,BETA-ALANINE,Galactose,3.652617419382823e-05,2.1509618081348982e-10,0.03551761963033473,3.0,89.09318,0.00013848714659706052,ala_B,E. coli,SINTEF-23
33,M2,CREATINE,Galactose,1.8768309003137023e-06,4.840299210636936e-14,,,,,,E. coli,SINTEF-23
34,M2,ALPHA-AMINOADIPATE,Galactose,9.285030879297793e-06,inf,,,,,,E. coli,SINTEF-23
35,M2,GLUTAMATE,Galactose,0.0010351516647688634,5.672487377786505e-08,0.04897214592872734,5.0,146.12132,2.415003778211794,glu__L,E. coli,SINTEF-23
36,M2,ASPARAGINE,Galactose,0.00022912229158140912,6.54045630631419e-08,0.05421107335690789,4.0,132.11792,0.057956630421849446,asn__L,E. coli,SINTEF-23
37,M2,ASPARTATE,Galactose,9.564023593805544e-05,3.864005461961704e-10,0.03507890999502883,4.0,132.09474,0.958964585062444,asp__L,E. coli,SINTEF-23
38,M2,PYRUVATE,Galactose,0.0027316919000444973,inf,0.022348229549443155,3.0,87.05412,3.287571503616391,pyr,E. coli,SINTEF-23
39,M2,LACTATE,Galactose,0.000589775865311458,inf,0.037397193367424975,3.0,89.07,0.0,lac__L,E. coli,SINTEF-23
40,M2,HEXOSES including Glucose and Fructose,Galactose,-8.62346972250237,6.171098552935924,0.06234773273726957,6.0,180.15588,0.0,fru,E. coli,SINTEF-23
41,M2,NAD,Galactose,1.5130334578750135e-05,inf,0.35677048713345094,21.0,662.4171620000001,10.809530100297726,nad,E. coli,SINTEF-23
