,M,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],BiGG ID,MV min,MV max,Species,Dataset
0,M1,PHENYLALANINE,Galactose,1.2315561015131713e-05,3.414898263835093e-06,0.17692291248381786,9.0,165.18913999999998,0.06688193097373976,phe__L,0.15026537898822356,0.17692291248403436,E. coli,SINTEF-23
1,M1,LEUCINE,Galactose,0.0002996785150166912,inf,0.11814517783536593,6.0,131.17291999999998,0.16264476961935578,leu__L,0.11814517783536593,0.13449326312925947,E. coli,SINTEF-23
2,M1,ISOLEUCINE,Galactose,-1.0952734720723657e-05,3.484217338740509e-06,0.13145914563614247,6.0,131.17291999999998,0.10488295427560326,ile__L,0.12212010949894658,0.13145914563640893,E. coli,SINTEF-23
3,M1,METHIONINE,Galactose,3.0726607433228778e-06,inf,0.15605169563076005,5.0,149.21134,0.05580588032086259,met__L,0.15605169563076005,0.1821817700351558,E. coli,SINTEF-23
4,M1,GAMMA-AMINOBUTYRATE,Galactose,0.001950981498371072,inf,0.0745000697828957,4.0,103.11976,0.0,4abut,0.06435408182378088,0.07450006978323986,E. coli,SINTEF-23
5,M1,PROLINE,Galactose,-6.6703069307007045e-06,inf,0.09518975987952705,5.0,115.13046,0.07980236553801334,pro__L,0.08139683604685422,0.09518975987973799,E. coli,SINTEF-23
6,M1,VALINE,Galactose,1.003875668312619e-05,inf,0.09421205729267523,5.0,117.14634,0.15276437359841127,val__L,0.0904574654935264,0.09421205729275295,E. coli,SINTEF-23
7,M1,PIPECOLIC ACID,Galactose,1.1750295234239789e-05,inf,,,,,,,,E. coli,SINTEF-23
8,M1,BETA-ALANINE,Galactose,3.075659697996716e-05,4.790429037147761e-06,0.051733895040245725,3.0,89.09318,0.0002079399359882217,ala_B,0.04429500154213284,0.05173389504051218,E. coli,SINTEF-23
9,M1,ALANINE,Galactose,-0.0005046700957951327,inf,0.047586064920185356,3.0,89.09318,0.36328947952007506,ala__L,0.039159526095977615,0.04758606492054618,E. coli,SINTEF-23
10,M1,CREATINE,Galactose,1.4396009625111046e-06,2.7684626925031466e-07,,7.0,161.19889999999998,0.0,crn,,,E. coli,SINTEF-23
11,M1,ALPHA-AMINOADIPATE,Galactose,4.012316727541647e-05,inf,,,,,,,,E. coli,SINTEF-23
12,M1,GLUTAMATE,Galactose,0.0025389279658078598,0.000579066474226575,0.07552428543028955,5.0,146.12132,3.645866673238795,glu__L,0.06341352220510243,0.0755242854305116,E. coli,SINTEF-23
13,M1,ASPARAGINE,Galactose,-3.3636898984904674e-05,2.102880478681067e-05,0.05694509877061105,4.0,132.11792,0.08702250220427409,asn__L,0.055325962772095894,0.05694509877078313,E. coli,SINTEF-23
14,M1,ASPARTATE,Galactose,0.00010132233786927824,1.4668033105995454e-05,0.05276570332182762,4.0,132.09474,1.0569121247470865,asp__L,0.04467993454979613,0.05276570332204966,E. coli,SINTEF-23
15,M1,PYRUVATE,Galactose,0.001926985281189744,inf,0.03930615959937822,3.0,87.05412,4.510085587757998,pyr,0.03163900792096386,0.03930615959951145,E. coli,SINTEF-23
16,M1,LACTATE,Galactose,,,0.05171280624443053,3.0,89.07,0.0,lac__L,0.04741926134887442,0.051712806244652576,E. coli,SINTEF-23
17,M1,HEXOSES including Glucose and Fructose,Galactose,-7.337311317516333,2.19194876554016,0.10344609426621854,6.0,180.15588,0.0,fru,0.0848024318502949,0.10344609426643503,E. coli,SINTEF-23
18,M1,NAD,Galactose,1.9222793110562278e-05,inf,0.37444224470043475,21.0,662.4171620000001,14.24207411606231,nad,0.3735574920408713,0.37444224470072895,E. coli,SINTEF-23
19,M1,SUCCINATE,Galactose,0.010565390162898461,inf,0.05586551645303528,4.0,116.07216,1.6853035059079797,succ,0.046600823689046944,0.05586551645330173,E. coli,SINTEF-23
20,M1,MALATE,Galactose,0.0007392245896459692,0.0019875301211464682,0.05172761861098052,4.0,132.07156,2.0617773159874893,mal__L,0.04319928680694418,0.05172761861118591,E. coli,SINTEF-23
21,M1,CIS-ACONITATE,Galactose,9.486394767842246e-05,2.2247498370389566e-06,0.07655746928930118,6.0,171.08442,2.073213651460004,acon_C,0.06403859821727531,0.0765574692896509,E. coli,SINTEF-23
22,M1,CITRATE,Galactose,9.501819893633713e-05,inf,0.07655647115464292,6.0,189.09969999999998,2.073213651460004,cit,0.06386434771670224,0.07655647115484832,E. coli,SINTEF-23
23,M1,ISOCITRATE,Galactose,6.609846430765805e-05,inf,0.07655846742414818,6.0,189.09969999999998,2.073213651460004,icit,0.06421284871805932,0.07655846742437022,E. coli,SINTEF-23
24,M1,TRANS-ACONITATE,Galactose,8.189257149682577e-06,inf,0.07655746928936225,6.0,171.08442,0.0,acon_T,0.06403859821738633,0.07655746928948437,E. coli,SINTEF-23
25,M2,PHENYLALANINE,Galactose,1.019937352646367e-05,inf,0.17692291248381786,9.0,165.18913999999998,0.06688193097373976,phe__L,0.15026537898822356,0.17692291248403436,E. coli,SINTEF-23
26,M2,LEUCINE,Galactose,0.00011992447818064626,inf,0.11814517783536593,6.0,131.17291999999998,0.16264476961935578,leu__L,0.11814517783536593,0.13449326312925947,E. coli,SINTEF-23
27,M2,ISOLEUCINE,Galactose,,,0.13145914563614247,6.0,131.17291999999998,0.10488295427560326,ile__L,0.12212010949894658,0.13145914563640893,E. coli,SINTEF-23
28,M2,METHIONINE,Galactose,-1.2220031487298393e-06,inf,0.15605169563076005,5.0,149.21134,0.05580588032086259,met__L,0.15605169563076005,0.1821817700351558,E. coli,SINTEF-23
29,M2,GAMMA-AMINOBUTYRATE,Galactose,,,0.0745000697828957,4.0,103.11976,0.0,4abut,0.06435408182378088,0.07450006978323986,E. coli,SINTEF-23
30,M2,PROLINE,Galactose,-4.114485350032134e-06,inf,0.09518975987952705,5.0,115.13046,0.07980236553801334,pro__L,0.08139683604685422,0.09518975987973799,E. coli,SINTEF-23
31,M2,PIPECOLIC ACID,Galactose,4.779579625964581e-06,1.0472502249398713e-06,,,,,,,,E. coli,SINTEF-23
32,M2,BETA-ALANINE,Galactose,2.646915988825136e-05,inf,0.051733895040245725,3.0,89.09318,0.0002079399359882217,ala_B,0.04429500154213284,0.05173389504051218,E. coli,SINTEF-23
